arc P_MPa,arc Absolute error_P_MPa,arc T,arc Absolute error_T,,,,
2.064098304,0.330255729,784.5364862,28,,,,
1.838127455,0.294100393,770.3641398,28,,,,
2.185198175,0.349631708,791.6823401,28,,,,
2.203380948,0.352540952,791.0438839,28,,,,
1.87038314,0.299261302,786.3807684,28,,,,
1.820881693,0.291341071,778.9961894,28,,,,
2.068521744,0.330963479,785.6632522,28,,,,
1.931370008,0.309019201,780.7836992,28,,,,
1.518862047,0.243017927,755.0958131,28,,,,
1.743847391,0.279015583,770.1525114,28,,,,
1.734493885,0.277519022,766.7155022,28,,,,
1.762416919,0.281986707,765.9938645,28,,,,
2.318652529,0.370984405,790.3796094,28,,,,
2.082749861,0.333239978,789.3047296,28,,,,
1.491391317,0.238622611,753.2550515,28,,,,
1.661963951,0.265914232,766.3181153,28,,,,
1.580087953,0.252814072,758.7049281,28,,,,
1.68647666,0.269836266,762.7300036,28,,,,
1.646798364,0.263487738,756.9198169,28,,,,
2.228221231,0.356515397,792.4650188,28,,,,
1.835308494,0.293649359,771.2253707,28,,,,
1.881932755,0.301109241,773.713405,28,,,,
1.844520405,0.295123265,769.3354205,28,,,,
1.269276355,0.203084217,744.5984016,28,,,,
1.988087167,0.318093947,778.6381295,28,,,,
1.979999745,0.316799959,784.6721413,28,,,,
1.875682321,0.300109171,776.5131601,28,,,,
1.723035122,0.275685619,771.5287599,28,,,,
1.417425084,0.226788014,752.2421808,28,,,,
1.555381961,0.248861114,751.267825,28,,,,
1.688783021,0.270205283,761.9392154,28,,,,
1.649141957,0.263862713,768.2315632,28,,,,
1.381404364,0.221024698,749.4408412,28,,,,
2.031892733,0.325102837,786.312353,28,,,,
1.409245653,0.225479304,751.2762237,28,,,,
1.712478837,0.273996614,766.9207185,28,,,,
1.671677214,0.267468354,759.6442424,28,,,,
1.582943119,0.253270899,759.227728,28,,,,
1.474624697,0.235939952,756.8149861,28,,,,
1.676443352,0.268230936,763.8781227,28,,,,
1.742984954,0.278877593,770.6282529,28,,,,
2.180435567,0.348869691,788.4326935,28,,,,
2.051244704,0.328199153,782.8880059,28,,,,
1.790049316,0.286407891,765.7921634,28,,,,
2.06495275,0.33039244,781.4969425,28,,,,
2.11439754,0.338303606,803.06693,28,,,,
2.161260232,0.345801637,816.9885918,28,,,,
2.047509702,0.327601552,803.859095,28,,,,
2.097669149,0.335627064,794.0697155,28,,,,
2.408346294,0.385335407,822.9751219,28,,,,
2.01233635,0.321973816,786.9913213,28,,,,
2.03292241,0.325267586,790.1984567,28,,,,
2.295083295,0.367213327,826.4896792,28,,,,
1.986095839,0.317775334,789.4635106,28,,,,
1.965140872,0.31442254,797.5950398,28,,,,
1.94693903,0.311510245,790.5638037,28,,,,
1.92688703,0.308301925,796.5353267,28,,,,
2.042306311,0.32676901,807.5076532,28,,,,
1.998265427,0.319722468,803.180999,28,,,,
2.098273455,0.335723753,815.5972236,28,,,,
2.088042644,0.334086823,808.328949,28,,,,
2.02632504,0.324212006,806.4426578,28,,,,
2.312140179,0.369942429,808.8682364,28,,,,
2.303994465,0.368639114,813.1837744,28,,,,
1.89265114,0.302824182,787.9614964,28,,,,
2.028642714,0.324582834,796.9599389,28,,,,
1.854817206,0.296770753,795.4515658,28,,,,
1.873188115,0.299710098,797.2116465,28,,,,
1.815650037,0.290504006,784.0860651,28,,,,
2.476311677,0.396209868,811.5400242,28,,,,
2.525450765,0.404072122,815.5333196,28,,,,
2.716228298,0.434596528,827.1842712,28,,,,
2.727150477,0.436344076,823.9226339,28,,,,
2.350909745,0.376145559,808.1426887,28,,,,
2.44571683,0.391314693,813.6030162,28,,,,
2.384449698,0.381511952,811.2149109,28,,,,
2.458872985,0.393419678,811.9561223,28,,,,
2.572409365,0.411585498,822.8950201,28,,,,
2.593268792,0.414923007,816.4366133,28,,,,
2.241761977,0.358681916,800.8317072,28,,,,
1.578189624,0.25251034,763.935278,28,,,,
1.255432154,0.200869145,714.1784354,28,,,,
1.396245736,0.223399318,738.9902842,28,,,,
1.378969107,0.220635057,736.5773807,28,,,,
2.540907187,0.40654515,795.9922979,28,,,,
1.578281067,0.252524971,745.8387097,28,,,,
1.338992168,0.214238747,733.4317017,28,,,,
1.879549801,0.300727968,775.6432953,28,,,,
1.556754015,0.249080642,749.706803,28,,,,
2.363958482,0.378233357,790.5103062,28,,,,
2.384199412,0.381471906,786.8378651,28,,,,
2.156362751,0.34501804,778.3964216,28,,,,
1.7946108,0.287137728,760.2282656,28,,,,
2.332602813,0.37321645,790.3111492,28,,,,
2.591771494,0.414683439,801.9824089,28,,,,
