T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
902,10,1000,2.247901919,3.542475073,37.14245378,0
901.5270847,9.9001,990.01,2.246775924,3.545620366,36.78519411,0.003284001
901.0536816,9.8002,980.02,2.245645297,3.548771737,36.42785784,0.006553194
900.5795957,9.7003,970.03,2.244510449,3.551931415,36.07045713,0.009848535
900.1056072,9.6004,960.04,2.243370086,3.555091873,35.71299773,0.013147845
899.632009,9.5005,950.05,2.242222815,3.558248384,35.35548323,0.01643584
899.157045,9.4006,940.06,2.241072768,3.561420959,34.99790087,0.019743306
898.6835444,9.3007,930.07,2.239914304,3.564580136,34.6400101,0.023048963
898.2067268,9.2008,920.08,2.23875625,3.567774143,34.28198986,0.026373927
897.7318603,9.1009,910.09,2.237588677,3.570949699,33.92387497,0.029689461
897.2543598,9.001,900.1,2.236420073,3.574152994,33.56566629,0.03300588
896.7787128,8.9011,890.11,2.235242254,3.577339399,33.20736439,0.036348728
896.3000416,8.8012,880.12,2.234063665,3.580556683,32.8489692,0.039681805
895.8231264,8.7013,870.13,2.23287577,3.583757856,32.49048065,0.043036419
895.3439674,8.6014,860.14,2.231686299,3.586983644,32.13189865,0.046382344
894.8658815,8.5015,850.15,2.230488704,3.590200117,31.77317608,0.049732613
894.3876005,8.4016,840.16,2.229284682,3.593418908,31.41431898,0.053111936
893.9063927,8.3017,830.17,2.228080008,3.596668705,31.05534781,0.056469789
893.4267459,8.2018,820.18,2.226865388,3.599902816,30.69626246,0.059855754
892.946221,8.1019,810.19,2.225646634,3.603147636,30.33706318,0.063244065
892.4650133,8.002,800.2,2.224422176,3.60640069,29.97757021,0.066627341
891.9828299,7.9021,790.21,2.223192928,3.609664552,29.61748656,0.070022085
891.4914761,7.8022,780.22,2.22204739,3.613085949,29.25721633,0.073424407
890.9968052,7.7023,770.23,2.220926651,3.616571884,28.89680166,0.076831033
890.5009637,7.6024,760.24,2.219801192,3.620069559,28.53624238,0.080235521
890.004049,7.5025,750.25,2.218671874,3.623580347,28.17553831,0.08364975
889.5082074,7.4026,740.26,2.217531276,3.62707563,27.81469491,0.087256615
889.0109025,7.3027,730.27,2.216390263,3.630598925,27.45371916,0.090758937
888.5135976,7.2028,720.28,2.215241889,3.634120969,27.09260567,0.094380378
888.0164877,7.1029,710.29,2.21408411,3.637637135,26.73134744,0.097995633
887.5184023,7.003,700.3,2.212921289,3.641164129,26.36993663,0.101614001
887.0188536,6.9031,690.31,2.2117559,3.644713075,26.00837263,0.105237576
886.5214511,6.8032,680.32,2.210574562,3.648226037,25.64665392,0.108871982
886.0223901,6.7033,670.33,2.209395261,3.651770988,25.28477722,0.112507498
