T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1066.47,5.501,2.1526,1.995,20.9228612,0.344
1065.71,5.401,2.1521,2.0076,20.55789757,0.3566
1064.95,5.301,2.1516,2.0206,20.19266805,0.3696
1064.18,5.201,2.1512,2.0343,19.82709759,0.3833
1063.41,5.101,2.1508,2.0485,19.46119884,0.3975
1062.64,5.001,2.1506,2.0634,19.09490937,0.4124
1061.86,4.901,2.1504,2.079,18.72838478,0.428
1061.08,4.801,2.1504,2.0954,18.36162428,0.4444
1060.29,4.701,2.1504,2.1126,17.99462578,0.4616
1059.49,4.601,2.1506,2.1307,17.62738498,0.4797
1058.69,4.501,2.1508,2.1497,17.2598752,0.4987
1057.88,4.401,2.1512,2.1698,16.89209311,0.5188
1057.06,4.301,2.1518,2.1909,16.5240471,0.5399
1056.23,4.201,2.1524,2.2132,16.15572797,0.5622
1055.39,4.101,2.1533,2.2367,15.7871011,0.5857
1054.55,4.001,2.1542,2.2615,15.41814572,0.6105
1053.68,3.901,2.1554,2.2877,15.04890253,0.6367
1052.81,3.801,2.1567,2.3154,14.67931009,0.6644
1051.92,3.701,2.1582,2.3446,14.30938347,0.6936
1051.02,3.601,2.1598,2.3754,13.93912869,0.7244
1050.09,3.501,2.1617,2.4078,13.56854881,0.7568
1049.15,3.401,2.1637,2.4421,13.1976451,0.7911
1048.19,3.301,2.1659,2.4781,12.82641381,0.8271
1047.2,3.201,2.1683,2.516,12.45481982,0.865
1046.19,3.101,2.1709,2.5559,12.08283227,0.9049
1045.15,3.001,2.1738,2.5978,11.7104499,0.9468
1044.08,2.901,2.1768,2.6419,11.33764139,0.9909
1042.97,2.801,2.18,2.6881,10.96436421,1.0371
1041.83,2.701,2.1835,2.7366,10.59045434,1.0856
1040.64,2.601,2.1871,2.7876,10.21593971,1.1366
1039.41,2.501,2.191,2.841,9.840811396,1.19
1038.13,2.401,2.1951,2.8971,9.465069146,1.2461
1036.79,2.301,2.1994,2.9559,9.088722831,1.3049
1035.38,2.201,2.2039,3.0176,8.711773465,1.3666
1033.9,2.101,2.2087,3.0824,8.334219546,1.4314
1032.34,2.001,2.2137,3.1505,7.956048906,1.4995
1030.62,1.901,2.2191,3.2233,7.577085837,1.5723
1028.79,1.801,2.2247,3.3001,7.197192199,1.6491
1026.84,1.701,2.2306,3.3811,6.816344948,1.7301
1024.76,1.601,2.2369,3.4668,6.434334626,1.8158
1022.53,1.501,2.2434,3.5577,6.050809826,1.9067
1020.12,1.401,2.2503,3.6543,5.665558941,2.0033
1017.51,1.301,2.2576,3.7573,5.278509629,2.1063
1014.68,1.201,2.2652,3.8675,4.889528356,2.2165
1011.57,1.101,2.2733,3.9858,4.498489713,2.3348
1008.15,1.001,2.282,4.1136,4.105206882,2.4626
1004.35,0.901,2.2911,4.2524,3.7094022,2.6014
1000.09,0.801,2.3009,4.404,3.31078769,2.753
998.09,0.701,2.3042,4.6012,2.909229952,2.9502
994.63,0.601,2.3124,4.7945,2.504900822,3.1435
993.88,0.501,2.3183,5.0004,2.097731849,3.3494
992.66,0.401,2.3248,5.2414,1.68699007,3.5904
990.46,0.301,2.3318,5.536,1.272669123,3.885
986.24,0.201,2.339,5.937,0.8542244,4.286
977.63,0.101,2.345,6.6042,0.43149101,4.9532
