T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1100,10.001,2.2077,1.651,37.14245378,0
1099.24,9.901,2.2063,1.6569,36.78519411,0.0059
1098.48,9.801,2.2048,1.6629,36.42785784,0.0119
1097.73,9.701,2.2033,1.6688,36.07045713,0.0178
1096.97,9.601,2.2019,1.6748,35.71299773,0.0238
1096.22,9.501,2.2004,1.6808,35.35548323,0.0298
1095.47,9.401,2.1989,1.6869,34.99790087,0.0359
1094.72,9.301,2.1975,1.693,34.6400101,0.042
1093.97,9.201,2.196,1.6991,34.28198986,0.0481
1093.22,9.101,2.1946,1.7053,33.92387497,0.0543
1092.47,9.001,2.1932,1.7114,33.56566629,0.0604
1091.72,8.901,2.1917,1.7177,33.20736439,0.0667
1090.98,8.801,2.1903,1.724,32.8489692,0.073
1090.23,8.701,2.1889,1.7303,32.49048065,0.0793
1089.49,8.601,2.1875,1.7367,32.13189865,0.0857
1088.74,8.501,2.1861,1.7431,31.77317608,0.0921
1088,8.401,2.1847,1.7496,31.41431898,0.0986
1087.26,8.301,2.1834,1.7561,31.05534781,0.1051
1086.51,8.201,2.182,1.7627,30.69626246,0.1117
1085.77,8.101,2.1806,1.7694,30.33706318,0.1184
1085.03,8.001,2.1793,1.7762,29.97757021,0.1252
1084.29,7.901,2.178,1.783,29.61748656,0.132
1083.55,7.801,2.1766,1.7899,29.25721633,0.1389
1082.81,7.701,2.1753,1.797,28.89680166,0.146
1082.07,7.601,2.174,1.8041,28.53624238,0.1531
1081.33,7.501,2.1728,1.8113,28.17553831,0.1603
1080.59,7.401,2.1715,1.8186,27.81469491,0.1676
1079.86,7.301,2.1702,1.8261,27.45371916,0.1751
1079.12,7.201,2.169,1.8337,27.09260567,0.1827
1078.38,7.101,2.1678,1.8414,26.73134744,0.1904
1077.64,7.001,2.1666,1.8493,26.36993663,0.1983
1076.9,6.901,2.1655,1.8573,26.00837263,0.2063
1076.16,6.801,2.1643,1.8655,25.64665392,0.2145
1075.42,6.701,2.1632,1.8739,25.28477722,0.2229
1074.68,6.601,2.1621,1.8825,24.92273962,0.2315
1073.94,6.501,2.1611,1.8912,24.56054217,0.2402
1073.2,6.401,2.16,1.9003,24.19818932,0.2493
1072.46,6.301,2.159,1.9095,23.83539377,0.2585
1071.71,6.201,2.1581,1.919,23.47203922,0.268
1070.97,6.101,2.1572,1.9288,23.10847978,0.2778
1070.22,6.001,2.1563,1.939,22.7447151,0.288
1069.48,5.901,2.1555,1.9494,22.38074499,0.2984
1068.73,5.801,2.1547,1.9602,22.01657131,0.3092
1067.98,5.701,2.1539,1.9714,21.65220047,0.3204
1067.22,5.601,2.1533,1.983,21.28763109,0.332
