T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
882.2,10,1000,2.191588197,3.219890727,37.14245378,0
881.521919,9.9001,990.01,2.189489247,3.225381509,36.78519411,0.005490782
880.9813956,9.8002,980.02,2.188299203,3.228831644,36.42785784,0.008940916
880.4435063,9.7003,970.03,2.187147953,3.232238955,36.07045713,0.012348227
879.9059097,9.6004,960.04,2.185990058,3.235644818,35.71299773,0.015754091
879.3664594,9.5005,950.05,2.184830712,3.239072112,35.35548323,0.019181384
878.8281799,9.4006,940.06,2.183662639,3.242490197,34.99790087,0.02259947
878.2897052,9.3007,930.07,2.182489372,3.245912291,34.6400101,0.026021563
877.7485965,9.2008,920.08,2.181314556,3.249360541,34.28198986,0.029469813
877.2089511,9.1009,910.09,2.180130957,3.252797545,33.92387497,0.032906817
876.668818,9.001,900.1,2.178942016,3.25624111,33.56566629,0.036350382
876.126441,8.9011,890.11,2.177751478,3.25970852,33.20736439,0.039817792
875.5854298,8.8012,880.12,2.176551503,3.263164285,32.8489692,0.043273557
875.0420772,8.7013,870.13,2.175347098,3.266639524,32.49048065,0.046748796
874.500188,8.6014,860.14,2.174139484,3.270114621,32.13189865,0.050223894
873.9502014,8.5015,850.15,2.172994333,3.273660613,31.77317608,0.053769886
873.3928004,8.4016,840.16,2.171907687,3.277288456,31.41431898,0.057397729
872.8362774,8.3017,830.17,2.170811848,3.280908426,31.05534781,0.061017698
872.2792666,8.2018,820.18,2.169709233,3.284532638,30.69626246,0.06464191
871.7218656,8.1019,810.19,2.168600095,3.288160939,30.33706318,0.068270212
871.1641719,8.002,800.2,2.167484944,3.291793071,29.97757021,0.071902343
870.6050148,7.9021,790.21,2.166368237,3.295445476,29.61748656,0.075554748
870.0457602,7.8022,780.22,2.165235612,3.299079855,29.25721633,0.079189127
869.484847,7.7023,770.23,2.164103001,3.302738068,28.89680166,0.082847341
868.9143731,7.6024,760.24,2.162981387,3.306476613,28.53624238,0.086585886
868.3484845,7.5025,750.25,2.161851577,3.310203188,28.17553831,0.090312461
867.7838642,7.4026,740.26,2.160725953,3.313954927,27.81469491,0.094064199
867.221195,7.3027,730.27,2.159571867,3.31764384,27.45371916,0.097753113
866.6598916,7.2028,720.28,2.158407923,3.321320366,27.09260567,0.101429638
866.0993687,7.1029,710.29,2.157235615,3.324993094,26.73134744,0.105102367
865.5372849,7.003,700.3,2.156058223,3.328679414,26.36993663,0.108788686
864.9733474,6.9031,690.31,2.154878184,3.332384744,26.00837263,0.112494017
864.4105807,6.8032,680.32,2.153687514,3.336078182,25.64665392,0.116187455
863.8465457,6.7033,670.33,2.152491077,3.33978184,25.28477722,0.119891113
863.2834862,6.6034,660.34,2.151285424,3.343477582,24.92273962,0.123586855
862.7194512,6.5035,650.35,2.150073081,3.347180454,24.56054217,0.127289727
862.1545382,6.4036,640.36,2.148853043,3.350884483,24.19818932,0.130993755
861.5904056,6.3037,630.37,2.147622335,3.354584141,23.83539377,0.134693414
861.0249072,6.2038,620.38,2.146388822,3.358292568,23.47203922,0.138401841
860.4664331,6.1039,610.39,2.145171887,3.361830857,23.10847978,0.14194013
859.915666,6.004,600.4,2.143967053,3.365240112,22.7447151,0.145349384
859.3656794,5.9041,590.41,2.142756457,3.368648152,22.38074499,0.148757424
858.8136441,5.8042,580.42,2.141540591,3.372070653,22.01657131,0.152179925
858.2574138,5.7043,570.43,2.140334266,3.375560074,21.65220047,0.155669346
857.6980616,5.6044,560.44,2.139115712,3.379045752,21.28763109,0.159155024
857.1381241,5.5045,550.45,2.137892732,3.382535507,20.9228612,0.162644779
856.5774061,5.4046,540.46,2.136658285,3.386024008,20.55789757,0.16613328
856.0134686,5.3047,530.47,2.135435554,3.389568329,20.19266805,0.169677602
855.4038737,5.2048,520.48,2.134389105,3.396626398,19.82709759,0.17673567
854.3967276,5.1049,510.49,2.134837742,3.428310199,19.46119884,0.208419472
853.4437265,5.005,500.5,2.135914911,3.459591344,19.09490937,0.239700617
852.5035055,4.9051,490.51,2.137177668,3.491238433,18.72838478,0.271347706
851.5420168,4.8052,480.52,2.138421307,3.523775345,18.36162428,0.303884618
850.5652114,4.7053,470.53,2.139649809,3.557114208,17.99462578,0.337223481
849.5725039,4.6054,460.54,2.14086372,3.591282061,17.62738498,0.371391334
848.5598945,4.5055,450.55,2.142070503,3.626331974,17.2598752,0.406441246
847.5282611,4.4056,440.56,2.143265396,3.662285604,16.89209311,0.442394876
846.4929206,4.3057,430.57,2.144414422,3.699413803,16.5240471,0.479523075
845.6829403,4.2058,420.58,2.145231986,3.738758898,16.15572797,0.51886817
844.7859378,4.1059,410.59,2.146282024,3.777823281,15.7871011,0.557932554
843.8387902,4.006,400.6,2.147433779,3.817446215,15.41814572,0.597555487
842.8673505,3.9061,390.61,2.148591697,3.858252063,15.04890253,0.638361336
841.880399,3.8062,380.62,2.14973171,3.900255994,14.67931009,0.680365267
840.8699359,3.7063,370.63,2.150867966,3.943554676,14.30938347,0.723663949
839.8337173,3.6064,360.64,2.152002013,3.988220198,13.93912869,0.768329471
838.7772065,3.5065,350.65,2.153116108,4.034301164,13.56854881,0.814410436
837.6899647,3.4066,340.66,2.154229306,4.08191936,13.1976451,0.862028633
836.5761871,3.3067,330.67,2.155385384,4.130777204,12.82641381,0.910886477
835.1807577,3.2068,320.68,2.158686914,4.182014637,12.45481982,0.962123909
833.6629899,3.1069,310.69,2.162456017,4.23549525,12.08283227,1.015604523
832.1106863,3.007,300.7,2.166094582,4.291106399,11.7104499,1.071215671
830.5123351,2.9071,290.71,2.169667832,4.348974901,11.33764139,1.129084173
828.9139839,2.8072,280.72,2.173096864,4.408946095,10.96436421,1.189055367
827.3156327,2.7073,270.73,2.176252577,4.472774517,10.59045434,1.252883789
825.7172814,2.6074,260.74,2.179215433,4.539663633,10.21593971,1.319772905
824.1189302,2.5075,250.75,2.182080551,4.609083818,9.840811396,1.389193091
822.520579,2.4076,240.76,2.185690557,4.677118256,9.465069146,1.457227528
820.9222278,2.3077,230.77,2.18818362,4.75431645,9.088722831,1.534425723
819.3238766,2.2078,220.78,2.190590106,4.835102432,8.711773465,1.615211705
817.7255253,2.1079,210.79,2.192939111,4.919675873,8.334219546,1.699785146
816.1271741,2.008,200.8,2.195211196,5.008774733,7.956048906,1.788884006
814.5288229,1.9081,190.81,2.197423565,5.102912096,7.577085837,1.883021368
812.9304717,1.8082,180.82,2.199585579,5.202709888,7.197192199,1.98281916
811.3321205,1.7083,170.83,2.201362445,5.313051131,6.816344948,2.093160403
809.7337692,1.6084,160.84,2.202483523,5.439691188,6.434334626,2.219800461
808.135418,1.5085,150.85,2.203640107,5.575060661,6.050809826,2.355169934
806.5370668,1.4086,140.86,2.204844672,5.720374256,5.665558941,2.500483528
804.9387156,1.3087,130.87,2.206095852,5.876463599,5.278509629,2.656572871
803.3403644,1.2088,120.88,2.207411421,6.044903338,4.889528356,2.825012611
801.7420131,1.1089,110.89,2.208802192,6.226521022,4.498489713,3.006630295
800.1436619,1.009,100.9,2.210295268,6.422634746,4.105206882,3.202744019
798.5453107,0.9091,90.91,2.211948534,6.634304005,3.7094022,3.414413278
796.9469595,0.8092,80.92,2.213906102,6.863206257,3.31078769,3.64331553
795.3486083,0.7093,70.93,2.239712249,7.180135922,2.909229952,3.960245195
793.750257,0.6094,60.94,2.250213191,7.576448382,2.504900822,4.356557655
792.1519058,0.5095,50.95,2.256310462,8.00429344,2.097731849,4.784402712
790.5535546,0.4096,40.96,2.260813707,8.470440323,1.68699007,5.250549596
788.9552034,0.3097,30.97,2.264226841,8.997533809,1.272669123,5.777643081
787.3568521,0.2098,20.98,2.266858979,9.62699451,0.8542244,6.407103783
