T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1001.99,6.501,2.3037,3.2231,24.56054217,0.1822
1001.48,6.401,2.3021,3.229,24.19818932,0.1881
1000.97,6.301,2.3004,3.2349,23.83539377,0.194
1000.45,6.201,2.2988,3.2409,23.47203922,0.2
999.94,6.101,2.2971,3.2469,23.10847978,0.206
999.43,6.001,2.2955,3.253,22.7447151,0.2121
998.92,5.901,2.2939,3.2592,22.38074499,0.2183
998.4,5.801,2.2923,3.2654,22.01657131,0.2245
997.89,5.701,2.2907,3.2716,21.65220047,0.2307
997.38,5.601,2.2891,3.278,21.28763109,0.2371
996.87,5.501,2.2875,3.2844,20.9228612,0.2435
996.36,5.401,2.2859,3.2908,20.55789757,0.2499
995.85,5.301,2.2843,3.2974,20.19266805,0.2565
995.34,5.201,2.2828,3.3041,19.82709759,0.2632
994.83,5.101,2.2812,3.3108,19.46119884,0.2699
994.32,5.001,2.2797,3.3177,19.09490937,0.2768
993.81,4.901,2.2782,3.3247,18.72838478,0.2838
993.3,4.801,2.2767,3.3318,18.36162428,0.2909
992.79,4.701,2.2752,3.3391,17.99462578,0.2982
992.28,4.601,2.2737,3.3466,17.62738498,0.3057
991.77,4.501,2.2722,3.3542,17.2598752,0.3133
991.25,4.401,2.2708,3.362,16.89209311,0.3211
990.74,4.301,2.2694,3.37,16.5240471,0.3291
990.23,4.201,2.268,3.3782,16.15572797,0.3373
989.71,4.101,2.2666,3.3867,15.7871011,0.3458
989.2,4.001,2.2652,3.3955,15.41814572,0.3546
988.68,3.901,2.2639,3.4046,15.04890253,0.3637
988.17,3.801,2.2627,3.414,14.67931009,0.3731
987.65,3.701,2.2614,3.4238,14.30938347,0.3829
987.13,3.601,2.2602,3.4341,13.93912869,0.3932
986.6,3.501,2.2591,3.4448,13.56854881,0.4039
986.08,3.401,2.258,3.4561,13.1976451,0.4152
985.55,3.301,2.257,3.468,12.82641381,0.4271
985.01,3.201,2.256,3.4807,12.45481982,0.4398
984.48,3.101,2.2551,3.4941,12.08283227,0.4532
983.93,3.001,2.2543,3.5085,11.7104499,0.4676
983.39,2.901,2.2536,3.5239,11.33764139,0.483
982.83,2.801,2.2531,3.5406,10.96436421,0.4997
982.27,2.701,2.2526,3.5587,10.59045434,0.5178
981.7,2.601,2.2524,3.5783,10.21593971,0.5374
981.12,2.501,2.2522,3.5999,9.840811396,0.559
983.9,2.401,2.2448,3.6368,9.465069146,0.5959
983.31,2.301,2.2447,3.6656,9.088722831,0.6247
982.74,2.201,2.2448,3.6969,8.711773465,0.656
982.16,2.101,2.2453,3.7318,8.334219546,0.6909
981.54,2.001,2.2461,3.7706,7.956048906,0.7297
980.85,1.901,2.2473,3.8151,7.577085837,0.7742
980.12,1.801,2.2489,3.8647,7.197192199,0.8238
979.34,1.701,2.2509,3.9202,6.816344948,0.8793
978.5,1.601,2.2535,3.9822,6.434334626,0.9413
977.58,1.501,2.2565,4.0514,6.050809826,1.0105
976.58,1.401,2.26,4.1285,5.665558941,1.0876
975.47,1.301,2.2641,4.2142,5.278509629,1.1733
974.24,1.201,2.2687,4.3093,4.889528356,1.2684
972.86,1.101,2.2739,4.4148,4.498489713,1.3739
971.93,1.001,2.2798,4.526,4.105206882,1.4851
972.84,0.901,2.2845,4.6381,3.7094022,1.5972
973.71,0.801,2.2897,4.7649,3.31078769,1.724
974.64,0.701,2.2955,4.9073,2.909229952,1.8664
975.59,0.601,2.3018,5.0685,2.504900822,2.0276
976.52,0.501,2.3089,5.2532,2.097731849,2.2123
977.28,0.401,2.3167,5.4691,1.68699007,2.4282
977.6,0.301,2.3255,5.7309,1.272669123,2.69
977.77,0.201,2.3339,6.1012,0.8542244,3.0603
975.12,0.101,2.3439,6.6585,0.43149101,3.6176
922.33,0.001,2.3625,8.711,0.004300206,5.6701
