T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1024.22,10.001,2.357,3.0409,37.14245378,0
1020.83,9.901,2.3546,3.0602,36.78519411,0.0193
1019.85,9.801,2.3536,3.0655,36.42785784,0.0246
1018.9,9.701,2.3526,3.0706,36.07045713,0.0297
1018.23,9.601,2.3577,3.072,35.71299773,0.0311
1017.73,9.501,2.3558,3.0748,35.35548323,0.0339
1017.16,9.401,2.3539,3.0781,34.99790087,0.0372
1016.63,9.301,2.352,3.081,34.6400101,0.0401
1016.1,9.201,2.3502,3.084,34.28198986,0.0431
1015.58,9.101,2.3483,3.087,33.92387497,0.0461
1015.05,9.001,2.3464,3.09,33.56566629,0.0491
1014.52,8.901,2.3445,3.0929,33.20736439,0.052
1014,8.801,2.3427,3.0959,32.8489692,0.055
1013.47,8.701,2.3408,3.0989,32.49048065,0.058
1012.94,8.601,2.339,3.1038,32.13189865,0.0629
1012.41,8.501,2.3373,3.1094,31.77317608,0.0685
1011.89,8.401,2.3356,3.115,31.41431898,0.0741
1011.36,8.301,2.3339,3.1206,31.05534781,0.0797
1010.83,8.201,2.3322,3.1262,30.69626246,0.0853
1010.31,8.101,2.3305,3.1318,30.33706318,0.0909
1009.78,8.001,2.3288,3.1374,29.97757021,0.0965
1009.26,7.901,2.3271,3.143,29.61748656,0.1021
1008.73,7.801,2.3254,3.1486,29.25721633,0.1077
1008.21,7.701,2.3238,3.1542,28.89680166,0.1133
1007.69,7.601,2.3221,3.1599,28.53624238,0.119
1007.17,7.501,2.3204,3.1655,28.17553831,0.1246
1006.65,7.401,2.3187,3.1712,27.81469491,0.1303
1006.13,7.301,2.317,3.1769,27.45371916,0.136
1005.61,7.201,2.3153,3.1826,27.09260567,0.1417
1005.09,7.101,2.3137,3.1883,26.73134744,0.1474
1004.57,7.001,2.312,3.194,26.36993663,0.1531
1004.05,6.901,2.3103,3.1998,26.00837263,0.1589
1003.54,6.801,2.3087,3.2055,25.64665392,0.1646
1003.02,6.701,2.307,3.2113,25.28477722,0.1704
1002.51,6.601,2.3054,3.2172,24.92273962,0.1763
