T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
980.1,10,1000,2.33326885,3.856075754,37.14245378,0
979.7464964,9.9001,990.01,2.332199857,3.858137438,36.78519411,0.002061684
979.3924075,9.8002,980.02,2.331127537,3.860197555,36.42785784,0.004121801
979.0375381,9.7003,970.03,2.330050592,3.862269193,36.07045713,0.006193439
978.6826688,9.6004,960.04,2.328967788,3.864343236,35.71299773,0.008267482
978.3249702,9.5005,950.05,2.327883801,3.866448749,35.35548323,0.010372995
977.9682472,9.4006,940.06,2.326792024,3.868548045,34.99790087,0.012472291
977.6092803,9.3007,930.07,2.325698027,3.870672883,34.6400101,0.014597129
977.249533,9.2008,920.08,2.324599204,3.872808238,34.28198986,0.016732484
976.887737,9.1009,910.09,2.323497566,3.874967656,33.92387497,0.018891903
976.5279896,9.001,900.1,2.322386278,3.877110439,33.56566629,0.021034685
976.1650229,8.9011,890.11,2.321274138,3.87928863,33.20736439,0.023212876
975.8006903,8.8012,880.12,2.320157997,3.881483096,32.8489692,0.025407342
975.43587,8.7013,870.13,2.319036244,3.883686406,32.49048065,0.027610653
975.0701716,8.6014,860.14,2.317909442,3.885901657,32.13189865,0.029825904
974.7034,8.5015,850.15,2.316777849,3.888131223,31.77317608,0.032055469
974.3363358,8.4016,840.16,2.315640134,3.890367432,31.41431898,0.034291679
973.967418,8.3017,830.17,2.314498951,3.892625568,31.05534781,0.036549814
973.59811,8.2018,820.18,2.313351668,3.894891504,30.69626246,0.03881575
973.2284117,8.1019,810.19,2.312198335,3.897165358,30.33706318,0.041089605
972.8565671,8.002,800.2,2.311041673,3.899463372,29.97757021,0.043387618
972.483942,7.9021,790.21,2.309879126,3.901772929,29.61748656,0.045697175
972.1095609,7.8022,780.22,2.308712813,3.904103926,29.25721633,0.048028173
971.7341067,7.7023,770.23,2.307541161,3.90644926,28.89680166,0.050373507
971.3584573,7.6024,760.24,2.306362729,3.908800612,28.53624238,0.052724858
970.9827104,7.5025,750.25,2.30517711,3.911157107,28.17553831,0.055081353
970.603744,7.4026,740.26,2.303989705,3.913548247,27.81469491,0.057472493
970.2256557,7.3027,730.27,2.30279341,3.91593573,27.45371916,0.059859977
969.8450309,7.2028,720.28,2.301594028,3.918351936,27.09260567,0.062276183
