T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1114,10,1000,2.433301565,4.116585438,37.14245378,0
1113.734885,9.9001,990.01,2.432287678,4.118340742,36.78519411,0.001755304
1113.480013,9.8002,980.02,2.4312789,4.120014331,36.42785784,0.003428894
1113.242994,9.7003,970.03,2.430262479,4.121566526,36.07045713,0.004981088
1112.999244,9.6004,960.04,2.429255013,4.123066868,35.71299773,0.00648143
1112.756762,9.5005,950.05,2.428237669,4.124607313,35.35548323,0.008021875
1112.512914,9.4006,940.06,2.427217769,4.126153511,34.99790087,0.009568073
1112.262335,9.3007,930.07,2.426206845,4.127682213,34.6400101,0.011096775
1112.018878,9.2008,920.08,2.425173597,4.129266462,34.28198986,0.012681024
1111.771323,9.1009,910.09,2.42414386,4.130842233,33.92387497,0.014256796
1111.522207,9.001,900.1,2.423111503,4.132426484,33.56566629,0.015841046
1111.276213,8.9011,890.11,2.422066391,4.134029157,33.20736439,0.01744372
1111.031975,8.8012,880.12,2.421012932,4.13561783,32.8489692,0.019032392
1110.783542,8.7013,870.13,2.419962764,4.137204152,32.49048065,0.020618714
1110.534133,8.6014,860.14,2.418908694,4.13879858,32.13189865,0.022213142
1110.284627,8.5015,850.15,2.417849006,4.14039701,31.77317608,0.023811573
1110.032877,8.4016,840.16,2.416788803,4.141989312,31.41431898,0.025403874
1109.778201,8.3017,830.17,2.415728813,4.143586706,31.05534781,0.027001268
1109.525182,8.2018,820.18,2.414658784,4.145197042,30.69626246,0.028611605
1109.27353,8.1019,810.19,2.413580071,4.146814735,30.33706318,0.030229297
1109.024024,8.002,800.2,2.412489673,4.148453257,29.97757021,0.03186782
1108.769737,7.9021,790.21,2.41140377,4.150087958,29.61748656,0.03350252
1108.509207,7.8022,780.22,2.410325014,4.151719198,29.25721633,0.03513376
1108.251311,7.7023,770.23,2.409232905,4.153387471,28.89680166,0.036802033
1107.99322,7.6024,760.24,2.408134404,4.155067377,28.53624238,0.038481939
1107.733177,7.5025,750.25,2.407033621,4.156753333,28.17553831,0.040167895
1107.476452,7.4026,740.26,2.405918768,4.158461243,27.81469491,0.041875805
1107.215727,7.3027,730.27,2.404805955,4.160167329,27.45371916,0.043581891
1106.953343,7.2028,720.28,2.403690161,4.161878979,27.09260567,0.045293541
1106.690081,7.1029,710.29,2.402569331,4.163600171,26.73134744,0.047014734
1106.426624,7.003,700.3,2.401441747,4.165334218,26.36993663,0.04874878
1106.154874,6.9031,690.31,2.400325382,4.167055414,26.00837263,0.050469976
1105.888491,6.8032,680.32,2.3991903,4.168802642,25.64665392,0.052217204
1105.621327,6.7033,670.33,2.398034441,4.170632343,25.28477722,0.054046905
1105.360894,6.6034,660.34,2.396887194,4.17234645,24.92273962,0.055761013
1105.091681,6.5035,650.35,2.395736548,4.174121486,24.56054217,0.057536048
1104.82159,6.4036,640.36,2.394580706,4.175904218,24.19818932,0.05931878
1104.550426,6.3037,630.37,2.393419539,4.177696882,23.83539377,0.061111444
1104.275945,6.2038,620.38,2.392267681,4.179447985,23.47203922,0.062862548
1104.006146,6.1039,610.39,2.391078924,4.181311683,23.10847978,0.064726245
1103.728348,6.004,600.4,2.389909153,4.18312753,22.7447151,0.066542092
1103.453087,5.9041,590.41,2.388726348,4.184957566,22.38074499,0.068372128
1103.176947,5.8042,580.42,2.387537853,4.186796224,22.01657131,0.070210786
1102.899637,5.7043,570.43,2.386343729,4.188645149,21.65220047,0.072059712
1102.624375,5.6044,560.44,2.385137948,4.190502559,21.28763109,0.073917121
1102.345114,5.5045,550.45,2.3839321,4.192370461,20.9228612,0.075785023
1102.066145,5.4046,540.46,2.382717567,4.194251663,20.55789757,0.077666226
1101.783567,5.3047,530.47,2.381502568,4.196133739,20.19266805,0.079548302
1101.501183,5.2048,520.48,2.380278706,4.198031088,19.82709759,0.08144565
1101.212946,5.1049,510.49,2.379058459,4.199935035,19.46119884,0.083349597
1100.933197,5.005,500.5,2.377820757,4.201822539,19.09490937,0.085237102
1100.64535,4.9051,490.51,2.376575044,4.203778907,18.72838478,0.08719347
1100.35926,4.8052,480.52,2.375326294,4.205689672,18.36162428,0.089104234
1100.075998,4.7053,470.53,2.374063367,4.207615948,17.99462578,0.09103051
1099.788054,4.6054,460.54,2.372801133,4.209545299,17.62738498,0.092959861
1099.502452,4.5055,450.55,2.37152507,4.211494524,17.2598752,0.094909086
1099.214215,4.4056,440.56,2.370245359,4.213454891,16.89209311,0.096869453
1098.924807,4.3057,430.57,2.36895914,4.215419692,16.5240471,0.098834254
1098.634229,4.2058,420.58,2.367665982,4.217395851,16.15572797,0.100810414
1098.342675,4.1059,410.59,2.366365678,4.21938235,15.7871011,0.102796913
1098.054341,4.006,400.6,2.36504789,4.221417002,15.41814572,0.104831564
1097.760055,3.9061,390.61,2.363734026,4.223427247,15.04890253,0.106841809
1097.466745,3.8062,380.62,2.362406928,4.225481484,14.67931009,0.108896046
1097.16963,3.7063,370.63,2.361079011,4.227516444,14.30938347,0.110931006
1096.870272,3.6064,360.64,2.359744808,4.229580916,13.93912869,0.112995479
1096.569157,3.5065,350.65,2.358404288,4.231653098,13.56854881,0.11506766
1096.265311,3.4066,340.66,2.357060601,4.23370477,13.1976451,0.117119332
1095.961465,3.3067,330.67,2.355705174,4.235795201,12.82641381,0.119209764
1095.656643,3.2068,320.68,2.354341059,4.237902181,12.45481982,0.121316743
1095.35065,3.1069,310.69,2.352968765,4.24001969,12.08283227,0.123434252
1095.043487,3.007,300.7,2.351588199,4.242148754,11.7104499,0.125563317
1094.734958,2.9071,290.71,2.350199464,4.24428888,11.33764139,0.127703443
1094.424966,2.8072,280.72,2.348802564,4.246439018,10.96436421,0.129853581
1094.110876,2.7073,270.73,2.347404023,4.248563888,10.59045434,0.13197845
1093.801274,2.6074,260.74,2.345982975,4.250768353,10.21593971,0.134182915
1093.484745,2.5075,250.75,2.344566347,4.252919726,9.840811396,0.136334289
1093.169192,2.4076,240.76,2.343134946,4.255114071,9.465069146,0.138528634
1092.852955,2.3077,230.77,2.34169293,4.257327317,9.088722831,0.140741879
1092.531841,2.2078,220.78,2.340248832,4.259527029,8.711773465,0.142941591
1092.212288,2.1079,210.79,2.338789438,4.261757648,8.334219546,0.14517221
1091.892052,2.008,200.8,2.337318704,4.264008825,7.956048906,0.147423387
1091.569865,1.9081,190.81,2.335839418,4.266266847,7.577085837,0.149681409
1091.246897,1.8082,180.82,2.334348633,4.268547414,7.197192199,0.151961976
1090.922661,1.7083,170.83,2.332847636,4.270836766,6.816344948,0.154251328
1090.596474,1.6084,160.84,2.331337314,4.273134968,6.434334626,0.15654953
1090.262092,1.5085,150.85,2.32982953,4.275400551,6.050809826,0.158815114
1089.932783,1.4086,140.86,2.328298117,4.277725465,5.665558941,0.161140027
1089.602401,1.3087,130.87,2.326755066,4.280065928,5.278509629,0.16348049
1089.269775,1.2088,120.88,2.325202371,4.2824139,4.889528356,0.165828462
1088.937051,1.1089,110.89,2.323635599,4.284784702,4.498489713,0.168199264
1088.601498,1.009,100.9,2.322059751,4.287160439,4.105206882,0.170575001
1088.267019,0.9091,90.91,2.320467066,4.289571391,3.7094022,0.172985953
1087.928637,0.8092,80.92,2.318866893,4.291976766,3.31078769,0.175391328
1087.588596,0.7093,70.93,2.317254455,4.294396284,2.909229952,0.177810846
1087.246214,0.6094,60.94,2.315631063,4.296824153,2.504900822,0.180238715
1086.905783,0.5095,50.95,2.313988042,4.299292386,2.097731849,0.182706948
1085.805664,0.4096,40.96,2.313450734,4.344227403,1.68699007,0.227641965
1084.207313,0.3097,30.97,2.315519523,4.535893296,1.272669123,0.419307858
1082.608962,0.2098,20.98,2.316515928,4.775506145,0.8542244,0.658920707
1081.01061,0.1099,10.99,2.315702646,5.114552984,0.43149101,0.997967546
1079.412259,0.01,1,2.309864909,5.944607516,0.004300206,1.828022078
