T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1061.54,3.601,2.3995,4.6227,13.93912869,0.2672
1061.2,3.501,2.3979,4.6273,13.56854881,0.2718
1060.86,3.401,2.3962,4.632,13.1976451,0.2765
1060.52,3.301,2.3945,4.6368,12.82641381,0.2813
1060.19,3.201,2.3929,4.6416,12.45481982,0.2861
1059.85,3.101,2.3912,4.6464,12.08283227,0.2909
1059.51,3.001,2.3896,4.6513,11.7104499,0.2958
1059.17,2.901,2.388,4.6562,11.33764139,0.3007
1058.83,2.801,2.3863,4.6612,10.96436421,0.3057
1058.49,2.701,2.3847,4.6662,10.59045434,0.3107
1058.15,2.601,2.383,4.6713,10.21593971,0.3158
1057.8,2.501,2.3814,4.6765,9.840811396,0.321
1057.46,2.401,2.3798,4.6818,9.465069146,0.3263
1057.11,2.301,2.3782,4.6873,9.088722831,0.3318
1056.77,2.201,2.3766,4.6928,8.711773465,0.3373
1056.42,2.101,2.375,4.6984,8.334219546,0.3429
1056.07,2.001,2.3734,4.7043,7.956048906,0.3488
1055.7,1.901,2.3719,4.7106,7.577085837,0.3551
1055.34,1.801,2.3704,4.7172,7.197192199,0.3617
1054.97,1.701,2.3689,4.724,6.816344948,0.3685
1054.59,1.601,2.3674,4.7312,6.434334626,0.3757
1054.21,1.501,2.3659,4.7389,6.050809826,0.3834
1053.82,1.401,2.3645,4.747,5.665558941,0.3915
1053.42,1.301,2.3632,4.7558,5.278509629,0.4003
1053.01,1.201,2.3619,4.7655,4.889528356,0.41
1052.59,1.101,2.3607,4.7762,4.498489713,0.4207
1052.15,1.001,2.3596,4.7884,4.105206882,0.4329
1051.68,0.901,2.3587,4.8028,3.7094022,0.4473
1051.18,0.801,2.358,4.8201,3.31078769,0.4646
1050.64,0.701,2.3576,4.842,2.909229952,0.4865
1050.02,0.601,2.3579,4.8713,2.504900822,0.5158
1049.29,0.501,2.3591,4.9131,2.097731849,0.5576
1048.37,0.401,2.3619,4.9769,1.68699007,0.6214
1047.07,0.301,2.3677,5.0796,1.272669123,0.7241
1047.93,0.201,2.3767,5.2258,0.8542244,0.8703
1051.49,0.101,2.3916,5.4494,0.43149101,1.0939
1046.65,0.001,2.4158,6.3055,0.004300206,1.95
