T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1087.5,10.001,2.5014,4.3555,37.14245378,0
1084.4,9.901,2.4993,4.3805,36.78519411,0.025
1083.48,9.801,2.4984,4.3832,36.42785784,0.0277
1083.16,9.701,2.5002,4.3729,36.07045713,0.0174
1082.68,9.601,2.4986,4.3747,35.71299773,0.0192
1082.21,9.501,2.4971,4.3765,35.35548323,0.021
1081.73,9.401,2.4955,4.3782,34.99790087,0.0227
1081.33,9.301,2.4949,4.372,34.6400101,0.0165
1080.96,9.201,2.4932,4.3759,34.28198986,0.0204
1080.6,9.101,2.4915,4.3804,33.92387497,0.0249
1080.24,9.001,2.4898,4.3849,33.56566629,0.0294
1079.87,8.901,2.4882,4.3893,33.20736439,0.0338
1079.51,8.801,2.4865,4.3938,32.8489692,0.0383
1079.15,8.701,2.4848,4.3983,32.49048065,0.0428
1078.79,8.601,2.4832,4.4027,32.13189865,0.0472
1078.43,8.501,2.4815,4.4071,31.77317608,0.0516
1078.08,8.401,2.4798,4.4116,31.41431898,0.0561
1077.72,8.301,2.4782,4.416,31.05534781,0.0605
1077.36,8.201,2.4765,4.4204,30.69626246,0.0649
1077.01,8.101,2.4748,4.4248,30.33706318,0.0693
1076.65,8.001,2.4732,4.4292,29.97757021,0.0737
1076.3,7.901,2.4715,4.4336,29.61748656,0.0781
1075.94,7.801,2.4698,4.4379,29.25721633,0.0824
1075.59,7.701,2.4682,4.4423,28.89680166,0.0868
1075.24,7.601,2.4665,4.4467,28.53624238,0.0912
1074.88,7.501,2.4648,4.451,28.17553831,0.0955
1074.53,7.401,2.4631,4.4554,27.81469491,0.0999
1074.18,7.301,2.4615,4.4597,27.45371916,0.1042
1073.83,7.201,2.4598,4.4641,27.09260567,0.1086
1073.48,7.101,2.4581,4.4684,26.73134744,0.1129
1073.13,7.001,2.4564,4.4728,26.36993663,0.1173
1072.79,6.901,2.4548,4.4771,26.00837263,0.1216
1072.44,6.801,2.4531,4.4814,25.64665392,0.1259
1072.09,6.701,2.4514,4.4858,25.28477722,0.1303
1071.74,6.601,2.4497,4.4901,24.92273962,0.1346
1071.4,6.501,2.4481,4.4944,24.56054217,0.1389
1071.05,6.401,2.4464,4.4988,24.19818932,0.1433
1070.71,6.301,2.4447,4.5031,23.83539377,0.1476
1070.36,6.201,2.443,4.5074,23.47203922,0.1519
1070.02,6.101,2.4414,4.5118,23.10847978,0.1563
1069.68,6.001,2.4397,4.5161,22.7447151,0.1606
1069.33,5.901,2.438,4.5204,22.38074499,0.1649
1068.99,5.801,2.4363,4.5248,22.01657131,0.1693
1068.65,5.701,2.4346,4.5291,21.65220047,0.1736
1068.31,5.601,2.433,4.5335,21.28763109,0.178
1067.96,5.501,2.4313,4.5378,20.9228612,0.1823
1067.62,5.401,2.4296,4.5422,20.55789757,0.1867
1067.28,5.301,2.4279,4.5465,20.19266805,0.191
1066.94,5.201,2.4263,4.5509,19.82709759,0.1954
1066.6,5.101,2.4246,4.5553,19.46119884,0.1998
1066.26,5.001,2.4229,4.5597,19.09490937,0.2042
1065.93,4.901,2.4212,4.5641,18.72838478,0.2086
1065.59,4.801,2.4196,4.5685,18.36162428,0.213
1065.25,4.701,2.4179,4.5729,17.99462578,0.2174
1064.91,4.601,2.4162,4.5773,17.62738498,0.2218
1064.57,4.501,2.4145,4.5818,17.2598752,0.2263
1064.23,4.401,2.4129,4.5863,16.89209311,0.2308
1063.9,4.301,2.4112,4.5907,16.5240471,0.2352
1063.56,4.201,2.4095,4.5952,16.15572797,0.2397
1063.22,4.101,2.4079,4.5997,15.7871011,0.2442
1062.88,4.001,2.4062,4.6043,15.41814572,0.2488
1062.55,3.901,2.4045,4.6088,15.04890253,0.2533
1062.21,3.801,2.4028,4.6134,14.67931009,0.2579
1061.87,3.701,2.4012,4.618,14.30938347,0.2625
