T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1100,10.001,2.1735,1.4312,37.14245378,0
1099.18,9.901,2.1721,1.4374,36.78519411,0.0062
1098.37,9.801,2.1707,1.4436,36.42785784,0.0124
1097.56,9.701,2.1693,1.4498,36.07045713,0.0186
1096.75,9.601,2.1679,1.456,35.71299773,0.0248
1095.94,9.501,2.1665,1.4623,35.35548323,0.0311
1095.13,9.401,2.1651,1.4685,34.99790087,0.0373
1094.33,9.301,2.1638,1.4748,34.6400101,0.0436
1093.52,9.201,2.1624,1.481,34.28198986,0.0498
1092.71,9.101,2.161,1.4873,33.92387497,0.0561
1091.91,9.001,2.1596,1.4936,33.56566629,0.0624
1091.11,8.901,2.1582,1.5,33.20736439,0.0688
1090.3,8.801,2.1569,1.5063,32.8489692,0.0751
1089.5,8.701,2.1555,1.5127,32.49048065,0.0815
1088.7,8.601,2.1541,1.5191,32.13189865,0.0879
1087.9,8.501,2.1528,1.5255,31.77317608,0.0943
1087.1,8.401,2.1514,1.5319,31.41431898,0.1007
1086.3,8.301,2.15,1.5384,31.05534781,0.1072
1085.5,8.201,2.1487,1.5449,30.69626246,0.1137
1084.7,8.101,2.1474,1.5514,30.33706318,0.1202
1083.9,8.001,2.146,1.558,29.97757021,0.1268
1083.1,7.901,2.1447,1.5646,29.61748656,0.1334
1082.3,7.801,2.1434,1.5712,29.25721633,0.14
1081.5,7.701,2.142,1.5779,28.89680166,0.1467
1080.7,7.601,2.1407,1.5846,28.53624238,0.1534
1079.9,7.501,2.1394,1.5914,28.17553831,0.1602
1079.1,7.401,2.1381,1.5983,27.81469491,0.1671
1078.3,7.301,2.1369,1.6051,27.45371916,0.1739
1077.5,7.201,2.1356,1.6121,27.09260567,0.1809
1076.7,7.101,2.1343,1.6191,26.73134744,0.1879
1075.89,7.001,2.1331,1.6262,26.36993663,0.195
1075.09,6.901,2.1318,1.6334,26.00837263,0.2022
1074.29,6.801,2.1306,1.6406,25.64665392,0.2094
1073.48,6.701,2.1294,1.6479,25.28477722,0.2167
1072.68,6.601,2.1282,1.6553,24.92273962,0.2241
1071.87,6.501,2.127,1.6629,24.56054217,0.2317
1071.06,6.401,2.1258,1.6705,24.19818932,0.2393
1070.25,6.301,2.1246,1.6782,23.83539377,0.247
1069.43,6.201,2.1235,1.6861,23.47203922,0.2549
1068.62,6.101,2.1224,1.6941,23.10847978,0.2629
1067.8,6.001,2.1213,1.7023,22.7447151,0.2711
1066.97,5.901,2.1202,1.7106,22.38074499,0.2794
1066.15,5.801,2.1192,1.7192,22.01657131,0.288
1065.32,5.701,2.1182,1.7279,21.65220047,0.2967
1064.49,5.601,2.1172,1.7369,21.28763109,0.3057
1063.65,5.501,2.1162,1.7461,20.9228612,0.3149
1062.81,5.401,2.1153,1.7556,20.55789757,0.3244
1061.96,5.301,2.1145,1.7655,20.19266805,0.3343
1061.11,5.201,2.1137,1.7757,19.82709759,0.3445
1060.26,5.101,2.1129,1.7863,19.46119884,0.3551
1059.39,5.001,2.1123,1.7974,19.09490937,0.3662
1058.52,4.901,2.1117,1.8091,18.72838478,0.3779
1057.64,4.801,2.1112,1.8215,18.36162428,0.3903
1056.76,4.701,2.1108,1.8347,17.99462578,0.4035
1055.86,4.601,2.1105,1.8487,17.62738498,0.4175
1054.96,4.501,2.1104,1.864,17.2598752,0.4328
1054.04,4.401,2.1105,1.8806,16.89209311,0.4494
1053.12,4.301,2.1109,1.8988,16.5240471,0.4676
1052.18,4.201,2.1115,1.9191,16.15572797,0.4879
1051.23,4.101,2.1124,1.9419,15.7871011,0.5107
1050.26,4.001,2.1138,1.9676,15.41814572,0.5364
1049.28,3.901,2.1155,1.9966,15.04890253,0.5654
1048.28,3.801,2.1178,2.0293,14.67931009,0.5981
1047.27,3.701,2.1205,2.0655,14.30938347,0.6343
1046.23,3.601,2.1237,2.1051,13.93912869,0.6739
1045.17,3.501,2.1272,2.1476,13.56854881,0.7164
1044.09,3.401,2.131,2.1926,13.1976451,0.7614
1042.99,3.301,2.135,2.2396,12.82641381,0.8084
1041.86,3.201,2.1391,2.2884,12.45481982,0.8572
1040.69,3.101,2.1435,2.3389,12.08283227,0.9077
1039.49,3.001,2.1479,2.3909,11.7104499,0.9597
1038.26,2.901,2.1525,2.4445,11.33764139,1.0133
1036.99,2.801,2.1572,2.4996,10.96436421,1.0684
1035.67,2.701,2.162,2.5563,10.59045434,1.1251
1034.3,2.601,2.167,2.6147,10.21593971,1.1835
1032.88,2.501,2.1721,2.6748,9.840811396,1.2436
1031.41,2.401,2.1773,2.7368,9.465069146,1.3056
1029.86,2.301,2.1827,2.8008,9.088722831,1.3696
1028.24,2.201,2.1882,2.8668,8.711773465,1.4356
1026.54,2.101,2.1939,2.9351,8.334219546,1.5039
1024.74,2.001,2.1998,3.0058,7.956048906,1.5746
1022.77,1.901,2.2059,3.0799,7.577085837,1.6487
1020.67,1.801,2.2122,3.1568,7.197192199,1.7256
1018.44,1.701,2.2187,3.2369,6.816344948,1.8057
1016.06,1.601,2.2255,3.3205,6.434334626,1.8893
1013.51,1.501,2.2326,3.4079,6.050809826,1.9767
1010.76,1.401,2.2399,3.4995,5.665558941,2.0683
1007.79,1.301,2.2476,3.5957,5.278509629,2.1645
1004.56,1.201,2.2556,3.6971,4.889528356,2.2659
1001.04,1.101,2.2639,3.8043,4.498489713,2.3731
997.16,1.001,2.2727,3.9181,4.105206882,2.4869
995.66,0.901,2.282,4.0394,3.7094022,2.6082
991.04,0.801,2.2919,4.1693,3.31078769,2.7381
987.15,0.701,2.3023,4.3094,2.909229952,2.8782
986.13,0.601,2.3136,4.4616,2.504900822,3.0304
984.72,0.501,2.3257,4.6287,2.097731849,3.1975
982.63,0.401,2.339,4.8151,1.68699007,3.3839
979.22,0.301,2.3536,5.0225,1.272669123,3.5913
974.31,0.201,2.3686,5.2336,0.8542244,3.8024
962,0.101,2.3879,5.5012,0.43149101,4.07
