T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
999.1925081,3.007,300.7,2.276338035,4.055964682,11.7104499,0.159178807
998.7972495,2.9071,290.71,2.274850122,4.058758125,11.33764139,0.16197225
998.3993567,2.8072,280.72,2.273347473,4.06154088,10.96436421,0.164755005
997.9999031,2.7073,270.73,2.271836955,4.064352315,10.59045434,0.16756644
997.5990836,2.6074,260.74,2.270319169,4.067197862,10.21593971,0.170411987
997.1968983,2.5075,250.75,2.268786373,4.070033407,9.840811396,0.173247532
996.7953959,2.4076,240.76,2.267240395,4.072875755,9.465069146,0.17608988
996.3873571,2.3077,230.77,2.265688025,4.075761347,9.088722831,0.178975472
995.9808792,2.2078,220.78,2.264130071,4.078680266,8.711773465,0.181894391
995.5749867,2.1079,210.79,2.262550452,4.081564003,8.334219546,0.184778129
995.1634357,2.008,200.8,2.260961548,4.084479777,7.956048906,0.187693902
994.7507141,1.9081,190.81,2.25937225,4.087487635,7.577085837,0.19070176
994.3361389,1.8082,180.82,2.257761435,4.090454414,7.197192199,0.193668539
993.9211734,1.7083,170.83,2.256138034,4.093442578,6.816344948,0.196656703
993.5058177,1.6084,160.84,2.254506322,4.096474227,6.434334626,0.199688352
993.0881206,1.5085,150.85,2.252861294,4.099514032,6.050809826,0.202728157
992.6681796,1.4086,140.86,2.251202799,4.102568874,5.665558941,0.205782999
992.2448241,1.3087,130.87,2.249534166,4.105655464,5.278509629,0.208869589
991.7113249,1.2088,120.88,2.248137814,4.114517784,4.889528356,0.21773191
990.1129737,1.1089,110.89,2.250831217,4.212390851,4.498489713,0.315604976
988.5146225,1.009,100.9,2.253366634,4.316885863,4.105206882,0.420099988
986.9162712,0.9091,90.91,2.2557124,4.42923011,3.7094022,0.532444235
985.31792,0.8092,80.92,2.257873873,4.55106555,3.31078769,0.654279675
983.7195688,0.7093,70.93,2.259816594,4.684500647,2.909229952,0.787714772
982.1212176,0.6094,60.94,2.261531112,4.832493002,2.504900822,0.935707127
980.5228664,0.5095,50.95,2.262997481,4.999363477,2.097731849,1.102577602
978.9245151,0.4096,40.96,2.264228393,5.191998863,1.68699007,1.295212988
977.3261639,0.3097,30.97,2.265260599,5.422244968,1.272669123,1.525459093
975.7278127,0.2098,20.98,2.266238456,5.714229354,0.8542244,1.817443479
974.1294615,0.1099,10.99,2.267663807,6.133510808,0.43149101,2.236724933
972.5311103,0.01,1,2.272780914,7.161428446,0.004300206,3.264642571
