T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1032.34,5.701,2.3501,3.8203,21.65220047,0.1869
1031.92,5.601,2.3484,3.8252,21.28763109,0.1918
1031.5,5.501,2.3467,3.8301,20.9228612,0.1967
1031.08,5.401,2.345,3.8349,20.55789757,0.2015
1030.66,5.301,2.3433,3.8398,20.19266805,0.2064
1030.24,5.201,2.3416,3.8447,19.82709759,0.2113
1029.82,5.101,2.3399,3.8496,19.46119884,0.2162
1029.41,5.001,2.3383,3.8544,19.09490937,0.221
1028.99,4.901,2.3366,3.8593,18.72838478,0.2259
1028.58,4.801,2.3349,3.8642,18.36162428,0.2308
1028.16,4.701,2.3332,3.8691,17.99462578,0.2357
1027.75,4.601,2.3315,3.874,17.62738498,0.2406
1027.34,4.501,2.3298,3.879,17.2598752,0.2456
1026.93,4.401,2.3281,3.8839,16.89209311,0.2505
1026.52,4.301,2.3264,3.8888,16.5240471,0.2554
1026.11,4.201,2.3247,3.8938,16.15572797,0.2604
1025.7,4.101,2.323,3.8987,15.7871011,0.2653
1025.29,4.001,2.3214,3.9037,15.41814572,0.2703
1024.88,3.901,2.3197,3.9087,15.04890253,0.2753
1024.48,3.801,2.318,3.9137,14.67931009,0.2803
1024.07,3.701,2.3163,3.9187,14.30938347,0.2853
1023.67,3.601,2.3146,3.9238,13.93912869,0.2904
1023.26,3.501,2.313,3.9288,13.56854881,0.2954
1022.86,3.401,2.3113,3.9339,13.1976451,0.3005
1022.46,3.301,2.3096,3.939,12.82641381,0.3056
1022.06,3.201,2.308,3.9441,12.45481982,0.3107
1021.66,3.101,2.3063,3.9493,12.08283227,0.3159
1021.26,3.001,2.3046,3.9545,11.7104499,0.3211
1020.86,2.901,2.303,3.9597,11.33764139,0.3263
1020.46,2.801,2.3013,3.965,10.96436421,0.3316
1020.07,2.701,2.2997,3.9703,10.59045434,0.3369
1019.67,2.601,2.298,3.9756,10.21593971,0.3422
1019.28,2.501,2.2964,3.981,9.840811396,0.3476
1018.88,2.401,2.2948,3.9864,9.465069146,0.353
1018.49,2.301,2.2931,3.992,9.088722831,0.3586
1018.09,2.201,2.2915,3.9976,8.711773465,0.3642
1017.7,2.101,2.2899,4.0032,8.334219546,0.3698
1017.31,2.001,2.2883,4.0091,7.956048906,0.3757
1016.92,1.901,2.2867,4.0151,7.577085837,0.3817
1016.53,1.801,2.2852,4.0214,7.197192199,0.388
1016.14,1.701,2.2836,4.0279,6.816344948,0.3945
1015.75,1.601,2.2821,4.0346,6.434334626,0.4012
1015.35,1.501,2.2806,4.0418,6.050809826,0.4084
1014.96,1.401,2.2792,4.0495,5.665558941,0.4161
1014.57,1.301,2.2779,4.0581,5.278509629,0.4247
1014.17,1.201,2.2767,4.0683,4.889528356,0.4349
1013.76,1.101,2.2758,4.0822,4.498489713,0.4488
1013.31,1.001,2.2761,4.1093,4.105206882,0.4759
1012.69,0.901,2.2812,4.189,3.7094022,0.5556
1011.92,0.801,2.2903,4.3161,3.31078769,0.6827
1011.09,0.701,2.3007,4.46,2.909229952,0.8266
1010.23,0.601,2.3118,4.6171,2.504900822,0.9837
1009.34,0.501,2.3238,4.7897,2.097731849,1.1563
1010.02,0.401,2.3363,4.9722,1.68699007,1.3388
1014.12,0.301,2.3489,5.1586,1.272669123,1.5252
1019.15,0.201,2.3639,5.3766,0.8542244,1.7432
1029.29,0.101,2.377,5.6834,0.43149101,2.05
