T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1051.37,10.001,2.4248,3.6334,37.14245378,0
1050.89,9.901,2.423,3.6362,36.78519411,0.0028
1050.44,9.801,2.4212,3.639,36.42785784,0.0056
1049.98,9.701,2.4193,3.6418,36.07045713,0.0084
1049.53,9.601,2.4175,3.6445,35.71299773,0.0111
1049.07,9.501,2.4157,3.6473,35.35548323,0.0139
1048.62,9.401,2.4138,3.65,34.99790087,0.0166
1048.16,9.301,2.412,3.6528,34.6400101,0.0194
1047.71,9.201,2.4102,3.6555,34.28198986,0.0221
1047.25,9.101,2.4083,3.6583,33.92387497,0.0249
1046.8,9.001,2.4065,3.661,33.56566629,0.0276
1046.35,8.901,2.4047,3.6638,33.20736439,0.0304
1045.9,8.801,2.4029,3.6677,32.8489692,0.0343
1045.45,8.701,2.4012,3.6728,32.49048065,0.0394
1044.99,8.601,2.3995,3.6778,32.13189865,0.0444
1044.54,8.501,2.3978,3.6828,31.77317608,0.0494
1044.1,8.401,2.3961,3.6879,31.41431898,0.0545
1043.65,8.301,2.3944,3.6929,31.05534781,0.0595
1043.2,8.201,2.3927,3.6978,30.69626246,0.0644
1042.75,8.101,2.391,3.7028,30.33706318,0.0694
1042.31,8.001,2.3893,3.7078,29.97757021,0.0744
1041.86,7.901,2.3876,3.7127,29.61748656,0.0793
1041.42,7.801,2.3859,3.7177,29.25721633,0.0843
1040.98,7.701,2.3842,3.7226,28.89680166,0.0892
1040.54,7.601,2.3825,3.7276,28.53624238,0.0942
1040.1,7.501,2.3808,3.7325,28.17553831,0.0991
1039.66,7.401,2.3791,3.7374,27.81469491,0.104
1039.22,7.301,2.3774,3.7423,27.45371916,0.1089
1038.78,7.201,2.3757,3.7472,27.09260567,0.1138
1038.35,7.101,2.374,3.7521,26.73134744,0.1187
1037.91,7.001,2.3723,3.757,26.36993663,0.1236
1037.48,6.901,2.3705,3.7619,26.00837263,0.1285
1037.05,6.801,2.3688,3.7668,25.64665392,0.1334
1036.61,6.701,2.3671,3.7717,25.28477722,0.1383
1036.18,6.601,2.3654,3.7765,24.92273962,0.1431
1035.75,6.501,2.3637,3.7814,24.56054217,0.148
1035.32,6.401,2.362,3.7863,24.19818932,0.1529
1034.89,6.301,2.3603,3.7912,23.83539377,0.1578
1034.47,6.201,2.3586,3.796,23.47203922,0.1626
1034.04,6.101,2.3569,3.8009,23.10847978,0.1675
1033.61,6.001,2.3552,3.8057,22.7447151,0.1723
1033.19,5.901,2.3535,3.8106,22.38074499,0.1772
1032.77,5.801,2.3518,3.8155,22.01657131,0.1821
