T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1068.16,10.001,2.4619,3.975,37.14245378,0
1067.73,9.901,2.4601,3.9777,36.78519411,0.0027
1067.32,9.801,2.4583,3.9803,36.42785784,0.0053
1066.91,9.701,2.4565,3.9829,36.07045713,0.0079
1066.49,9.601,2.4547,3.9855,35.71299773,0.0105
1066.08,9.501,2.4529,3.9881,35.35548323,0.0131
1065.67,9.401,2.4511,3.9907,34.99790087,0.0157
1065.26,9.301,2.4493,3.9933,34.6400101,0.0183
1064.85,9.201,2.4475,3.9959,34.28198986,0.0209
1064.44,9.101,2.4457,3.9985,33.92387497,0.0235
1064.03,9.001,2.4439,4.0018,33.56566629,0.0268
1063.62,8.901,2.4422,4.0065,33.20736439,0.0315
1063.21,8.801,2.4406,4.0113,32.8489692,0.0363
1062.8,8.701,2.4389,4.0161,32.49048065,0.0411
1062.39,8.601,2.4372,4.0208,32.13189865,0.0458
1061.99,8.501,2.4355,4.0255,31.77317608,0.0505
1061.58,8.401,2.4338,4.0303,31.41431898,0.0553
1061.18,8.301,2.4321,4.035,31.05534781,0.06
1060.77,8.201,2.4304,4.0397,30.69626246,0.0647
1060.37,8.101,2.4287,4.0444,30.33706318,0.0694
1059.97,8.001,2.427,4.049,29.97757021,0.074
1059.57,7.901,2.4253,4.0537,29.61748656,0.0787
1059.17,7.801,2.4236,4.0584,29.25721633,0.0834
1058.77,7.701,2.422,4.063,28.89680166,0.088
1058.38,7.601,2.4203,4.0677,28.53624238,0.0927
1057.98,7.501,2.4186,4.0723,28.17553831,0.0973
1057.58,7.401,2.4169,4.0769,27.81469491,0.1019
1057.19,7.301,2.4152,4.0815,27.45371916,0.1065
1056.8,7.201,2.4135,4.0861,27.09260567,0.1111
1056.4,7.101,2.4118,4.0907,26.73134744,0.1157
1056.01,7.001,2.4101,4.0953,26.36993663,0.1203
1055.62,6.901,2.4084,4.0999,26.00837263,0.1249
1055.23,6.801,2.4067,4.1045,25.64665392,0.1295
1054.84,6.701,2.405,4.1091,25.28477722,0.1341
1054.45,6.601,2.4033,4.1137,24.92273962,0.1387
1054.06,6.501,2.4016,4.1182,24.56054217,0.1432
1053.68,6.401,2.3999,4.1228,24.19818932,0.1478
1053.29,6.301,2.3982,4.1274,23.83539377,0.1524
1052.91,6.201,2.3965,4.1319,23.47203922,0.1569
1052.52,6.101,2.3948,4.1365,23.10847978,0.1615
1052.14,6.001,2.3931,4.141,22.7447151,0.166
1051.76,5.901,2.3914,4.1456,22.38074499,0.1706
1051.38,5.801,2.3897,4.1501,22.01657131,0.1751
1051,5.701,2.388,4.1547,21.65220047,0.1797
1050.62,5.601,2.3863,4.1592,21.28763109,0.1842
1050.24,5.501,2.3847,4.1637,20.9228612,0.1887
1049.86,5.401,2.383,4.1683,20.55789757,0.1933
1049.48,5.301,2.3813,4.1728,20.19266805,0.1978
1049.11,5.201,2.3796,4.1774,19.82709759,0.2024
1048.73,5.101,2.3779,4.1819,19.46119884,0.2069
1048.36,5.001,2.3762,4.1865,19.09490937,0.2115
1047.98,4.901,2.3745,4.191,18.72838478,0.216
1047.61,4.801,2.3728,4.1955,18.36162428,0.2205
1047.24,4.701,2.3711,4.2001,17.99462578,0.2251
1046.87,4.601,2.3694,4.2047,17.62738498,0.2297
