T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1068.16,10.001,2.4619,3.975,37.14245378,0
1065,9.901,2.4597,3.9982,36.78519411,0.0232
1064.07,9.801,2.4588,4.002,36.42785784,0.027
1063.3,9.701,2.4629,3.9887,36.07045713,0.0137
1062.91,9.601,2.4611,3.9911,35.71299773,0.0161
1062.47,9.501,2.4593,3.9939,35.35548323,0.0189
1062.06,9.401,2.4575,3.9965,34.99790087,0.0215
1061.65,9.301,2.4557,3.9991,34.6400101,0.0241
1061.24,9.201,2.4539,4.0017,34.28198986,0.0267
1060.84,9.101,2.4521,4.0043,33.92387497,0.0293
1060.43,9.001,2.4503,4.0069,33.56566629,0.0319
1060.02,8.901,2.4485,4.0098,33.20736439,0.0348
1059.62,8.801,2.4468,4.0146,32.8489692,0.0396
1059.21,8.701,2.4451,4.0193,32.49048065,0.0443
1058.8,8.601,2.4434,4.0241,32.13189865,0.0491
1058.4,8.501,2.4417,4.0288,31.77317608,0.0538
1058,8.401,2.44,4.0336,31.41431898,0.0586
1057.59,8.301,2.4383,4.0383,31.05534781,0.0633
1057.19,8.201,2.4366,4.043,30.69626246,0.068
1056.79,8.101,2.435,4.0477,30.33706318,0.0727
1056.39,8.001,2.4333,4.0524,29.97757021,0.0774
1055.99,7.901,2.4316,4.0571,29.61748656,0.0821
1055.59,7.801,2.4299,4.0618,29.25721633,0.0868
1055.19,7.701,2.4282,4.0665,28.89680166,0.0915
1054.8,7.601,2.4265,4.0711,28.53624238,0.0961
1054.4,7.501,2.4248,4.0758,28.17553831,0.1008
1054,7.401,2.4231,4.0805,27.81469491,0.1055
1053.61,7.301,2.4214,4.0852,27.45371916,0.1102
1053.21,7.201,2.4197,4.0898,27.09260567,0.1148
1052.82,7.101,2.4181,4.0945,26.73134744,0.1195
1052.43,7.001,2.4164,4.0992,26.36993663,0.1242
1052.03,6.901,2.4147,4.1038,26.00837263,0.1288
1051.64,6.801,2.413,4.1085,25.64665392,0.1335
1051.25,6.701,2.4113,4.1132,25.28477722,0.1382
1050.86,6.601,2.4096,4.1178,24.92273962,0.1428
1050.47,6.501,2.4079,4.1225,24.56054217,0.1475
1050.08,6.401,2.4062,4.1272,24.19818932,0.1522
1049.69,6.301,2.4045,4.1319,23.83539377,0.1569
1049.3,6.201,2.4029,4.1366,23.47203922,0.1616
1048.91,6.101,2.4012,4.1413,23.10847978,0.1663
1048.52,6.001,2.3995,4.146,22.7447151,0.171
1048.14,5.901,2.3978,4.1507,22.38074499,0.1757
1047.75,5.801,2.3961,4.1554,22.01657131,0.1804
1047.36,5.701,2.3944,4.1601,21.65220047,0.1851
1046.98,5.601,2.3928,4.1649,21.28763109,0.1899
1046.59,5.501,2.3911,4.1696,20.9228612,0.1946
1046.2,5.401,2.3894,4.1744,20.55789757,0.1994
1045.82,5.301,2.3877,4.1792,20.19266805,0.2042
1045.44,5.201,2.386,4.184,19.82709759,0.209
1045.05,5.101,2.3844,4.1888,19.46119884,0.2138
1044.67,5.001,2.3827,4.1936,19.09490937,0.2186
1044.28,4.901,2.381,4.1985,18.72838478,0.2235
1043.9,4.801,2.3793,4.2033,18.36162428,0.2283
1043.52,4.701,2.3777,4.2082,17.99462578,0.2332
1043.13,4.601,2.376,4.2132,17.62738498,0.2382
1042.75,4.501,2.3743,4.2181,17.2598752,0.2431
1042.37,4.401,2.3727,4.2231,16.89209311,0.2481
1041.99,4.301,2.371,4.2282,16.5240471,0.2532
1041.61,4.201,2.3694,4.2332,16.15572797,0.2582
1041.22,4.101,2.3677,4.2383,15.7871011,0.2633
1040.84,4.001,2.3661,4.2435,15.41814572,0.2685
1040.46,3.901,2.3644,4.2487,15.04890253,0.2737
1040.08,3.801,2.3628,4.2539,14.67931009,0.2789
1039.69,3.701,2.3611,4.2592,14.30938347,0.2842
1039.31,3.601,2.3595,4.2646,13.93912869,0.2896
1038.93,3.501,2.3579,4.27,13.56854881,0.295
1038.55,3.401,2.3563,4.2755,13.1976451,0.3005
1038.16,3.301,2.3547,4.2811,12.82641381,0.3061
1037.78,3.201,2.353,4.2868,12.45481982,0.3118
1037.39,3.101,2.3515,4.2926,12.08283227,0.3176
1037.01,3.001,2.3499,4.2985,11.7104499,0.3235
1036.62,2.901,2.3483,4.3045,11.33764139,0.3295
1036.23,2.801,2.3467,4.3106,10.96436421,0.3356
1035.85,2.701,2.3452,4.3169,10.59045434,0.3419
1035.46,2.601,2.3436,4.3234,10.21593971,0.3484
1035.06,2.501,2.3421,4.3301,9.840811396,0.3551
1034.67,2.401,2.3406,4.3371,9.465069146,0.3621
1034.27,2.301,2.3391,4.3442,9.088722831,0.3692
1033.87,2.201,2.3377,4.3517,8.711773465,0.3767
1033.47,2.101,2.3362,4.3596,8.334219546,0.3846
1033.06,2.001,2.3349,4.3679,7.956048906,0.3929
1032.64,1.901,2.3336,4.3772,7.577085837,0.4022
1032.21,1.801,2.3323,4.3872,7.197192199,0.4122
1031.77,1.701,2.3311,4.398,6.816344948,0.423
1031.31,1.601,2.33,4.4097,6.434334626,0.4347
1030.85,1.501,2.329,4.4227,6.050809826,0.4477
1030.37,1.401,2.3281,4.4372,5.665558941,0.4622
1029.87,1.301,2.3274,4.4537,5.278509629,0.4787
1029.35,1.201,2.3269,4.4729,4.889528356,0.4979
1028.8,1.101,2.3267,4.4958,4.498489713,0.5208
1028.2,1.001,2.327,4.5237,4.105206882,0.5487
1027.54,0.901,2.3278,4.5587,3.7094022,0.5837
1026.8,0.801,2.3294,4.6039,3.31078769,0.6289
1025.93,0.701,2.3321,4.6634,2.909229952,0.6884
1024.87,0.601,2.3364,4.7429,2.504900822,0.7679
1023.54,0.501,2.3427,4.8488,2.097731849,0.8738
1022.48,0.401,2.351,4.9828,1.68699007,1.0078
1024.53,0.301,2.3604,5.1324,1.272669123,1.1574
1026.95,0.201,2.3732,5.3281,0.8542244,1.3531
1032.92,0.101,2.3832,5.6497,0.43149101,1.6747
1015.62,0.001,2.3917,6.9972,0.004300206,3.0222
