T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1100,10.001,2.1735,1.4312,37.14245378,0
1099.18,9.901,2.1722,1.4376,36.78519411,0.0064
1098.37,9.801,2.1708,1.4441,36.42785784,0.0129
1097.56,9.701,2.1694,1.4505,36.07045713,0.0193
1096.75,9.601,2.1681,1.4571,35.71299773,0.0259
1095.94,9.501,2.1667,1.4636,35.35548323,0.0324
1095.13,9.401,2.1654,1.4702,34.99790087,0.039
1094.33,9.301,2.1641,1.4769,34.6400101,0.0457
1093.52,9.201,2.1628,1.4836,34.28198986,0.0524
1092.71,9.101,2.1615,1.4904,33.92387497,0.0592
1091.91,9.001,2.1602,1.4973,33.56566629,0.0661
1091.11,8.901,2.1589,1.5042,33.20736439,0.073
1090.3,8.801,2.1576,1.5112,32.8489692,0.08
1089.5,8.701,2.1563,1.5182,32.49048065,0.087
1088.7,8.601,2.1551,1.5254,32.13189865,0.0942
1087.9,8.501,2.1538,1.5326,31.77317608,0.1014
1087.1,8.401,2.1526,1.54,31.41431898,0.1088
1086.3,8.301,2.1514,1.5474,31.05534781,0.1162
1085.5,8.201,2.1502,1.5549,30.69626246,0.1237
1084.7,8.101,2.149,1.5626,30.33706318,0.1314
1083.9,8.001,2.1479,1.5704,29.97757021,0.1392
1083.1,7.901,2.1467,1.5783,29.61748656,0.1471
1082.3,7.801,2.1456,1.5863,29.25721633,0.1551
1081.5,7.701,2.1445,1.5945,28.89680166,0.1633
1080.7,7.601,2.1434,1.6028,28.53624238,0.1716
1079.9,7.501,2.1424,1.6113,28.17553831,0.1801
1079.1,7.401,2.1414,1.62,27.81469491,0.1888
1078.3,7.301,2.1404,1.6289,27.45371916,0.1977
1077.5,7.201,2.1394,1.638,27.09260567,0.2068
1076.7,7.101,2.1385,1.6473,26.73134744,0.2161
1075.89,7.001,2.1376,1.6568,26.36993663,0.2256
1075.09,6.901,2.1367,1.6666,26.00837263,0.2354
1074.29,6.801,2.1359,1.6766,25.64665392,0.2454
1073.48,6.701,2.1351,1.687,25.28477722,0.2558
1072.68,6.601,2.1343,1.6976,24.92273962,0.2664
1071.87,6.501,2.1336,1.7086,24.56054217,0.2774
1071.06,6.401,2.133,1.7199,24.19818932,0.2887
1070.25,6.301,2.1324,1.7315,23.83539377,0.3003
1069.43,6.201,2.1318,1.7436,23.47203922,0.3124
1068.62,6.101,2.1313,1.7561,23.10847978,0.3249
1067.8,6.001,2.1309,1.7691,22.7447151,0.3379
1066.97,5.901,2.1306,1.7825,22.38074499,0.3513
1066.15,5.801,2.1303,1.7965,22.01657131,0.3653
1065.32,5.701,2.13,1.811,21.65220047,0.3798
1064.49,5.601,2.1299,1.8261,21.28763109,0.3949
1063.65,5.501,2.1299,1.8418,20.9228612,0.4106
1062.81,5.401,2.1299,1.8582,20.55789757,0.427
1061.96,5.301,2.13,1.8753,20.19266805,0.4441
1061.11,5.201,2.1302,1.8931,19.82709759,0.4619
1060.26,5.101,2.1306,1.9118,19.46119884,0.4806
1059.39,5.001,2.131,1.9313,19.09490937,0.5001
1058.52,4.901,2.1316,1.9516,18.72838478,0.5204
1057.64,4.801,2.1322,1.9729,18.36162428,0.5417
1056.76,4.701,2.133,1.9952,17.99462578,0.564
1055.86,4.601,2.1339,2.0186,17.62738498,0.5874
1054.96,4.501,2.135,2.043,17.2598752,0.6118
1054.04,4.401,2.1362,2.0685,16.89209311,0.6373
1053.12,4.301,2.1375,2.0953,16.5240471,0.6641
1052.18,4.201,2.139,2.1233,16.15572797,0.6921
1051.23,4.101,2.1406,2.1525,15.7871011,0.7213
1050.26,4.001,2.1424,2.1831,15.41814572,0.7519
1049.28,3.901,2.1443,2.215,15.04890253,0.7838
1048.28,3.801,2.1464,2.2484,14.67931009,0.8172
1047.27,3.701,2.1486,2.2833,14.30938347,0.8521
1046.23,3.601,2.151,2.3197,13.93912869,0.8885
1045.17,3.501,2.1535,2.3577,13.56854881,0.9265
1044.09,3.401,2.1563,2.3974,13.1976451,0.9662
1042.99,3.301,2.1591,2.4387,12.82641381,1.0075
1041.86,3.201,2.1622,2.4818,12.45481982,1.0506
1040.69,3.101,2.1654,2.5267,12.08283227,1.0955
1039.49,3.001,2.1688,2.5736,11.7104499,1.1424
1038.26,2.901,2.1724,2.6224,11.33764139,1.1912
1036.99,2.801,2.1761,2.6732,10.96436421,1.242
1035.67,2.701,2.1801,2.7263,10.59045434,1.2951
1034.3,2.601,2.1842,2.7815,10.21593971,1.3503
1032.88,2.501,2.1885,2.8392,9.840811396,1.408
1031.41,2.401,2.1929,2.8994,9.465069146,1.4682
1029.86,2.301,2.1976,2.9622,9.088722831,1.531
1028.24,2.201,2.2025,3.0279,8.711773465,1.5967
1026.54,2.101,2.2076,3.0966,8.334219546,1.6654
1024.74,2.001,2.2129,3.1686,7.956048906,1.7374
1022.77,1.901,2.2186,3.2453,7.577085837,1.8141
1020.67,1.801,2.2244,3.326,7.197192199,1.8948
1018.44,1.701,2.2306,3.4109,6.816344948,1.9797
1016.06,1.601,2.2371,3.5007,6.434334626,2.0695
1013.51,1.501,2.2438,3.5957,6.050809826,2.1645
1010.76,1.401,2.2509,3.6966,5.665558941,2.2654
1007.79,1.301,2.2583,3.804,5.278509629,2.3728
1004.56,1.201,2.2662,3.919,4.889528356,2.4878
1001.04,1.101,2.2745,4.0424,4.498489713,2.6112
997.16,1.001,2.2832,4.1757,4.105206882,2.7445
995.66,0.901,2.2855,4.3465,3.7094022,2.9153
991.04,0.801,2.293,4.5217,3.31078769,3.0905
987.15,0.701,2.301,4.7047,2.909229952,3.2735
986.13,0.601,2.3064,4.8957,2.504900822,3.4645
984.72,0.501,2.3123,5.1144,2.097731849,3.6832
982.63,0.401,2.3186,5.3718,1.68699007,3.9406
979.22,0.301,2.3255,5.6884,1.272669123,4.2572
974.31,0.201,2.3314,6.1445,0.8542244,4.7133
962,0.101,2.3374,6.8827,0.43149101,5.4515
