T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
975.29,3.101,2.2114,3.1799,12.08283227,0.3971
974.78,3.001,2.2101,3.1888,11.7104499,0.406
974.26,2.901,2.2088,3.1983,11.33764139,0.4155
973.75,2.801,2.2077,3.2084,10.96436421,0.4256
973.24,2.701,2.2066,3.2194,10.59045434,0.4366
972.73,2.601,2.2056,3.2315,10.21593971,0.4487
972.21,2.501,2.2048,3.2452,9.840811396,0.4624
971.69,2.401,2.2043,3.2616,9.465069146,0.4788
971.16,2.301,2.2042,3.2823,9.088722831,0.4995
973.98,2.201,2.1974,3.3215,8.711773465,0.5387
973.53,2.101,2.1992,3.3655,8.334219546,0.5827
972.99,2.001,2.2027,3.4277,7.956048906,0.6449
972.43,1.901,2.2075,3.504,7.577085837,0.7212
971.86,1.801,2.2128,3.5881,7.197192199,0.8053
971.29,1.701,2.2185,3.6771,6.816344948,0.8943
970.71,1.601,2.2245,3.7706,6.434334626,0.9878
970.13,1.501,2.2307,3.8685,6.050809826,1.0857
969.55,1.401,2.2371,3.9714,5.665558941,1.1886
968.96,1.301,2.2439,4.0798,5.278509629,1.297
968.36,1.201,2.251,4.1943,4.889528356,1.4115
967.75,1.101,2.2584,4.3158,4.498489713,1.533
967.13,1.001,2.2662,4.4452,4.105206882,1.6624
968.14,0.901,2.2741,4.5713,3.7094022,1.7885
970.49,0.801,2.2812,4.7016,3.31078769,1.9188
972.93,0.701,2.2888,4.8439,2.909229952,2.0611
975.68,0.601,2.2969,4.9985,2.504900822,2.2157
978.8,0.501,2.3057,5.1682,2.097731849,2.3854
982.4,0.401,2.3154,5.3573,1.68699007,2.5745
986.67,0.301,2.3264,5.5729,1.272669123,2.7901
991.91,0.201,2.3393,5.8287,0.8542244,3.0459
998.87,0.101,2.3557,6.1612,0.43149101,3.3784
