T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1013.09,10.001,2.3258,2.7828,37.14245378,0
1012.5,9.901,2.3239,2.786,36.78519411,0.0032
1011.92,9.801,2.322,2.7891,36.42785784,0.0063
1011.35,9.701,2.3201,2.7922,36.07045713,0.0094
1010.78,9.601,2.3182,2.7952,35.71299773,0.0124
1010.21,9.501,2.3163,2.7983,35.35548323,0.0155
1009.63,9.401,2.3145,2.8014,34.99790087,0.0186
1009.06,9.301,2.3126,2.8045,34.6400101,0.0217
1008.49,9.201,2.3107,2.8075,34.28198986,0.0247
1007.92,9.101,2.3088,2.8106,33.92387497,0.0278
1007.35,9.001,2.3069,2.8137,33.56566629,0.0309
1006.79,8.901,2.305,2.8168,33.20736439,0.034
1006.21,8.801,2.3032,2.8211,32.8489692,0.0383
1005.64,8.701,2.3015,2.827,32.49048065,0.0442
1005.06,8.601,2.2998,2.8329,32.13189865,0.0501
1004.49,8.501,2.2981,2.8388,31.77317608,0.056
1003.92,8.401,2.2964,2.8447,31.41431898,0.0619
1003.35,8.301,2.2948,2.8505,31.05534781,0.0677
1002.78,8.201,2.2931,2.8564,30.69626246,0.0736
1002.21,8.101,2.2914,2.8622,30.33706318,0.0794
1001.64,8.001,2.2897,2.8681,29.97757021,0.0853
1001.07,7.901,2.288,2.8739,29.61748656,0.0911
1000.51,7.801,2.2863,2.8798,29.25721633,0.097
999.95,7.701,2.2847,2.8856,28.89680166,0.1028
999.38,7.601,2.283,2.8915,28.53624238,0.1087
998.82,7.501,2.2813,2.8973,28.17553831,0.1145
998.26,7.401,2.2796,2.9031,27.81469491,0.1203
997.71,7.301,2.278,2.909,27.45371916,0.1262
997.15,7.201,2.2763,2.9148,27.09260567,0.132
996.59,7.101,2.2746,2.9206,26.73134744,0.1378
996.04,7.001,2.2729,2.9265,26.36993663,0.1437
995.49,6.901,2.2713,2.9323,26.00837263,0.1495
994.93,6.801,2.2696,2.9382,25.64665392,0.1554
994.38,6.701,2.2679,2.9441,25.28477722,0.1613
993.83,6.601,2.2663,2.9499,24.92273962,0.1671
993.29,6.501,2.2646,2.9558,24.56054217,0.173
992.74,6.401,2.263,2.9617,24.19818932,0.1789
992.19,6.301,2.2613,2.9676,23.83539377,0.1848
991.65,6.201,2.2597,2.9735,23.47203922,0.1907
991.1,6.101,2.258,2.9794,23.10847978,0.1966
990.56,6.001,2.2564,2.9854,22.7447151,0.2026
990.02,5.901,2.2547,2.9914,22.38074499,0.2086
989.48,5.801,2.2531,2.9973,22.01657131,0.2145
988.94,5.701,2.2514,3.0033,21.65220047,0.2205
988.4,5.601,2.2498,3.0094,21.28763109,0.2266
987.86,5.501,2.2482,3.0154,20.9228612,0.2326
987.33,5.401,2.2466,3.0215,20.55789757,0.2387
986.79,5.301,2.2449,3.0276,20.19266805,0.2448
986.26,5.201,2.2433,3.0337,19.82709759,0.2509
985.73,5.101,2.2417,3.0399,19.46119884,0.2571
985.2,5.001,2.2401,3.0461,19.09490937,0.2633
984.66,4.901,2.2385,3.0524,18.72838478,0.2696
984.14,4.801,2.2369,3.0587,18.36162428,0.2759
983.61,4.701,2.2353,3.065,17.99462578,0.2822
983.08,4.601,2.2337,3.0714,17.62738498,0.2886
982.55,4.501,2.2322,3.0779,17.2598752,0.2951
982.03,4.401,2.2306,3.0844,16.89209311,0.3016
981.5,4.301,2.229,3.091,16.5240471,0.3082
980.98,4.201,2.2275,3.0977,16.15572797,0.3149
980.46,4.101,2.2259,3.1044,15.7871011,0.3216
979.94,4.001,2.2244,3.1113,15.41814572,0.3285
979.42,3.901,2.2229,3.1182,15.04890253,0.3354
978.9,3.801,2.2214,3.1253,14.67931009,0.3425
978.38,3.701,2.2199,3.1325,14.30938347,0.3497
977.86,3.601,2.2184,3.1399,13.93912869,0.3571
977.35,3.501,2.2169,3.1474,13.56854881,0.3646
976.83,3.401,2.2155,3.1551,13.1976451,0.3723
976.32,3.301,2.2141,3.1631,12.82641381,0.3803
975.8,3.201,2.2127,3.1713,12.45481982,0.3885
