T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
935,10,1000,2.307622872,3.857967745,37.14245378,0
934.611668,9.9001,990.01,2.306532943,3.860378281,36.78519411,0.002410536
934.226653,9.8002,980.02,2.305444651,3.862684195,36.42785784,0.00471645
933.8408576,9.7003,970.03,2.304351836,3.865003652,36.07045713,0.007035906
933.4547694,9.6004,960.04,2.30325342,3.867332017,35.71299773,0.009364272
933.0679984,9.5005,950.05,2.302150288,3.869673097,35.35548323,0.011705351
932.6794713,9.4006,940.06,2.301043717,3.872036693,34.99790087,0.014068947
932.291432,9.3007,930.07,2.299930061,3.87440188,34.6400101,0.016434134
931.9010513,9.2008,920.08,2.29881401,3.876794904,34.28198986,0.018827158
931.5085243,9.1009,910.09,2.297695461,3.879214636,33.92387497,0.02124689
931.1173631,9.001,900.1,2.296567924,3.881627618,33.56566629,0.023659873
930.7235678,8.9011,890.11,2.295438295,3.884071333,33.20736439,0.026103587
930.3298701,8.8012,880.12,2.294302206,3.88652144,32.8489692,0.028553695
929.9365626,8.7013,870.13,2.293158363,3.888973026,32.49048065,0.031005281
929.5405235,8.6014,860.14,2.292012673,3.891457287,32.13189865,0.033489542
929.1432162,8.5015,850.15,2.290862615,3.893960398,31.77317608,0.035992653
928.7449332,8.4016,840.16,2.289707123,3.896478463,31.41431898,0.038510718
928.3461625,8.3017,830.17,2.288545698,3.899008154,31.05534781,0.041040409
927.9458308,8.2018,820.18,2.287379715,3.901558551,30.69626246,0.043590805
927.5469625,8.1019,810.19,2.286204272,3.904102622,30.33706318,0.046134877
927.1454601,8.002,800.2,2.285026173,3.906677746,29.97757021,0.04871
926.7419089,7.9021,790.21,2.283844549,3.909279129,29.61748656,0.051311384
926.3374798,7.8022,780.22,2.282657094,3.911895376,29.25721633,0.053927631
925.9333433,7.7023,770.23,2.281461711,3.914516007,28.89680166,0.056548262
925.5285239,7.6024,760.24,2.280259795,3.917149802,28.53624238,0.059182057
925.1207778,7.5025,750.25,2.279055914,3.919818484,28.17553831,0.061850739
924.7123487,7.4026,740.26,2.277845452,3.922500056,27.81469491,0.064532311
924.3056757,7.3027,730.27,2.276623235,3.925171678,27.45371916,0.067203932
923.8941248,7.2028,720.28,2.275403429,3.927898194,27.09260567,0.069930448
923.4838421,7.1029,710.29,2.274172189,3.930618363,26.73134744,0.072650618
923.0737546,7.003,700.3,2.272931139,3.933342096,26.36993663,0.075374351
922.6596671,6.9031,690.31,2.271690879,3.93611335,26.00837263,0.078145605
922.2466528,6.8032,680.32,2.270440068,3.93888168,25.64665392,0.080913935
921.8314922,6.7033,670.33,2.269184595,3.941676358,25.28477722,0.083708613
921.4143805,6.6034,660.34,2.267927344,3.944502155,24.92273962,0.086534409
920.9977565,6.5035,650.35,2.266658067,3.947327216,24.56054217,0.089359471
920.5797667,6.4036,640.36,2.265382244,3.950172579,24.19818932,0.092204833
920.1613867,6.3037,630.37,2.26409926,3.953030323,23.83539377,0.095062578
919.7415433,6.2038,620.38,2.262809117,3.955908006,23.47203922,0.09794026
919.3195536,6.1039,610.39,2.261515992,3.95881557,23.10847978,0.100847825
918.8982468,6.004,600.4,2.260207789,3.961720438,22.7447151,0.103752693
918.473623,5.9041,590.41,2.258901542,3.964667505,22.38074499,0.106699759
918.0475358,5.8042,580.42,2.257590948,3.967638308,22.01657131,0.109670562
917.6234974,5.7043,570.43,2.256264482,3.970597372,21.65220047,0.112629627
917.1971176,5.6044,560.44,2.254934769,3.973588455,21.28763109,0.115620709
916.7680061,5.5045,550.45,2.25360209,3.976613827,20.9228612,0.118646081
916.3400653,5.4046,540.46,2.252253809,3.979632821,20.55789757,0.121665076
915.9090027,5.3047,530.47,2.250904816,3.982693853,20.19266805,0.124726107
915.47794,5.2048,520.48,2.249542644,3.985760203,19.82709759,0.127792457
915.0451213,5.1049,510.49,2.248173984,3.98885163,19.46119884,0.130883885
914.6109368,5.005,500.5,2.246798147,3.991964875,19.09490937,0.13399713
914.1763621,4.9051,490.51,2.245411723,3.995090414,18.72838478,0.137122668
913.7399337,4.8052,480.52,2.244018832,3.998242067,18.36162428,0.140274321
913.304676,4.7053,470.53,2.242611197,4.001390936,17.99462578,0.143423191
912.8659062,4.6054,460.54,2.241201701,4.00458266,17.62738498,0.146614915
912.4253804,4.5055,450.55,2.239785082,4.00780045,17.2598752,0.149832704
911.9852448,4.4056,440.56,2.238354008,4.01102225,16.89209311,0.153054505
911.5427678,4.3057,430.57,2.236917981,4.014276144,16.5240471,0.156308399
911.0986323,4.2058,420.58,2.235474036,4.017555104,16.15572797,0.159587359
910.6542042,4.1059,410.59,2.234018069,4.020845368,15.7871011,0.162877623
910.2090931,4.006,400.6,2.232552313,4.024153001,15.41814572,0.166185255
909.7627137,3.9061,390.61,2.231076415,4.027481161,15.04890253,0.169513415
909.3132125,3.8062,380.62,2.229594933,4.030848329,14.67931009,0.172880583
908.8641991,3.7063,370.63,2.2280975,4.03421965,14.30938347,0.176251904
908.414893,3.6064,360.64,2.226587256,4.037603043,13.93912869,0.179635298
907.9622699,3.5065,350.65,2.225077459,4.041031511,13.56854881,0.183063766
907.5086712,3.4066,340.66,2.223549795,4.044473822,13.1976451,0.186506076
907.0528287,3.3067,330.67,2.222019364,4.047950849,12.82641381,0.189983103
906.5960105,3.2068,320.68,2.22047669,4.051447165,12.45481982,0.19347942
906.1391924,3.1069,310.69,2.218919539,4.054953351,12.08283227,0.196985606
905.6800329,3.007,300.7,2.217355308,4.058493176,11.7104499,0.200525431
905.2201905,2.9071,290.71,2.215776678,4.062048851,11.33764139,0.204081105
904.7575188,2.8072,280.72,2.21419197,4.065643124,10.96436421,0.207675378
904.2942619,2.7073,270.73,2.212593458,4.06925356,10.59045434,0.211285815
