T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1036.91,10.001,2.3899,3.3229,37.14245378,0
1033.61,9.901,2.3876,3.3434,36.78519411,0.0205
1032.64,9.801,2.3866,3.3484,36.42785784,0.0255
1031.7,9.701,2.3857,3.3531,36.07045713,0.0302
1031.16,9.601,2.3902,3.35,35.71299773,0.0271
1030.69,9.501,2.3883,3.3527,35.35548323,0.0298
1030.16,9.401,2.3864,3.3558,34.99790087,0.0329
1029.67,9.301,2.3846,3.3587,34.6400101,0.0358
1029.18,9.201,2.3827,3.3615,34.28198986,0.0386
1028.69,9.101,2.3809,3.3644,33.92387497,0.0415
1028.21,9.001,2.379,3.3673,33.56566629,0.0444
1027.72,8.901,2.3771,3.3701,33.20736439,0.0472
1027.23,8.801,2.3753,3.373,32.8489692,0.0501
1026.74,8.701,2.3734,3.3758,32.49048065,0.0529
1026.25,8.601,2.3717,3.3805,32.13189865,0.0576
1025.76,8.501,2.37,3.3858,31.77317608,0.0629
1025.28,8.401,2.3683,3.3911,31.41431898,0.0682
1024.79,8.301,2.3666,3.3964,31.05534781,0.0735
1024.3,8.201,2.3648,3.4017,30.69626246,0.0788
1023.82,8.101,2.3631,3.407,30.33706318,0.0841
1023.33,8.001,2.3614,3.4123,29.97757021,0.0894
1022.85,7.901,2.3597,3.4176,29.61748656,0.0947
1022.36,7.801,2.358,3.4228,29.25721633,0.0999
1021.88,7.701,2.3563,3.4281,28.89680166,0.1052
1021.4,7.601,2.3546,3.4334,28.53624238,0.1105
1020.92,7.501,2.3529,3.4387,28.17553831,0.1158
1020.44,7.401,2.3512,3.4441,27.81469491,0.1212
1019.96,7.301,2.3495,3.4494,27.45371916,0.1265
1019.48,7.201,2.3479,3.4547,27.09260567,0.1318
1019,7.101,2.3462,3.46,26.73134744,0.1371
1018.52,7.001,2.3445,3.4654,26.36993663,0.1425
1018.05,6.901,2.3428,3.4707,26.00837263,0.1478
1017.57,6.801,2.3411,3.4761,25.64665392,0.1532
1017.09,6.701,2.3394,3.4815,25.28477722,0.1586
1016.62,6.601,2.3377,3.4869,24.92273962,0.164
1016.15,6.501,2.3361,3.4923,24.56054217,0.1694
1015.67,6.401,2.3344,3.4977,24.19818932,0.1748
1015.2,6.301,2.3327,3.5032,23.83539377,0.1803
1014.73,6.201,2.331,3.5087,23.47203922,0.1858
1014.25,6.101,2.3294,3.5142,23.10847978,0.1913
1013.78,6.001,2.3277,3.5197,22.7447151,0.1968
1013.31,5.901,2.3261,3.5253,22.38074499,0.2024
1012.84,5.801,2.3244,3.5309,22.01657131,0.208
1012.37,5.701,2.3227,3.5366,21.65220047,0.2137
1011.9,5.601,2.3211,3.5423,21.28763109,0.2194
1011.43,5.501,2.3195,3.548,20.9228612,0.2251
1010.96,5.401,2.3178,3.5538,20.55789757,0.2309
1010.49,5.301,2.3162,3.5596,20.19266805,0.2367
1010.02,5.201,2.3146,3.5655,19.82709759,0.2426
1009.55,5.101,2.3129,3.5714,19.46119884,0.2485
1009.08,5.001,2.3113,3.5774,19.09490937,0.2545
1008.61,4.901,2.3097,3.5835,18.72838478,0.2606
1008.14,4.801,2.3081,3.5897,18.36162428,0.2668
1007.68,4.701,2.3065,3.5959,17.99462578,0.273
1007.21,4.601,2.305,3.6022,17.62738498,0.2793
1006.74,4.501,2.3034,3.6087,17.2598752,0.2858
1006.27,4.401,2.3018,3.6152,16.89209311,0.2923
1005.8,4.301,2.3003,3.6219,16.5240471,0.299
1005.33,4.201,2.2987,3.6287,16.15572797,0.3058
1004.86,4.101,2.2972,3.6356,15.7871011,0.3127
1004.39,4.001,2.2957,3.6427,15.41814572,0.3198
1003.92,3.901,2.2942,3.6499,15.04890253,0.327
1003.45,3.801,2.2928,3.6574,14.67931009,0.3345
1002.98,3.701,2.2913,3.665,14.30938347,0.3421
1002.51,3.601,2.2899,3.6729,13.93912869,0.35
1002.03,3.501,2.2885,3.6811,13.56854881,0.3582
1001.55,3.401,2.2871,3.6895,13.1976451,0.3666
1001.08,3.301,2.2857,3.6983,12.82641381,0.3754
1000.6,3.201,2.2844,3.7074,12.45481982,0.3845
1000.12,3.101,2.2832,3.717,12.08283227,0.3941
999.63,3.001,2.2819,3.727,11.7104499,0.4041
999.15,2.901,2.2808,3.7376,11.33764139,0.4147
998.65,2.801,2.2796,3.7488,10.96436421,0.4259
998.16,2.701,2.2786,3.7607,10.59045434,0.4378
997.66,2.601,2.2776,3.7735,10.21593971,0.4506
997.15,2.501,2.2768,3.7872,9.840811396,0.4643
996.64,2.401,2.276,3.8021,9.465069146,0.4792
996.12,2.301,2.2753,3.8183,9.088722831,0.4954
995.59,2.201,2.2748,3.8362,8.711773465,0.5133
995.04,2.101,2.2745,3.856,8.334219546,0.5331
994.48,2.001,2.2744,3.878,7.956048906,0.5551
993.87,1.901,2.2746,3.9037,7.577085837,0.5808
993.23,1.801,2.2751,3.9327,7.197192199,0.6098
