T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
992.55,1.701,2.2759,3.9658,6.816344948,0.6429
991.84,1.601,2.2772,4.0038,6.434334626,0.6809
991.07,1.501,2.279,4.0477,6.050809826,0.7248
993.39,1.401,2.2746,4.1148,5.665558941,0.7919
992.5,1.301,2.277,4.1783,5.278509629,0.8554
991.6,1.201,2.2801,4.2507,4.889528356,0.9278
990.59,1.101,2.2839,4.3343,4.498489713,1.0114
989.45,1.001,2.2885,4.4302,4.105206882,1.1073
988.13,0.901,2.2939,4.54,3.7094022,1.2171
986.6,0.801,2.3001,4.6654,3.31078769,1.3425
988.24,0.701,2.3058,4.7827,2.909229952,1.4598
989.57,0.601,2.3117,4.9247,2.504900822,1.6018
991.03,0.501,2.3185,5.0891,2.097731849,1.7662
992.54,0.401,2.3262,5.2823,1.68699007,1.9594
993.95,0.301,2.335,5.5162,1.272669123,2.1933
994.79,0.201,2.3451,5.8168,0.8542244,2.4939
994.67,0.101,2.3553,6.3021,0.43149101,2.9792
940.28,0.001,2.3602,8.5167,0.004300206,5.1938
