T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1013.09,10.001,2.3258,2.7828,37.14245378,0
1009.62,9.901,2.3233,2.8011,36.78519411,0.0183
1008.62,9.801,2.3222,2.8067,36.42785784,0.0239
1007.65,9.701,2.3212,2.812,36.07045713,0.0292
1006.9,9.601,2.3269,2.8174,35.71299773,0.0346
1006.36,9.501,2.325,2.8203,35.35548323,0.0375
1005.75,9.401,2.3231,2.8236,34.99790087,0.0408
1005.19,9.301,2.3212,2.8267,34.6400101,0.0439
1004.63,9.201,2.3193,2.8297,34.28198986,0.0469
1004.06,9.101,2.3174,2.8328,33.92387497,0.05
1003.5,9.001,2.3155,2.8359,33.56566629,0.0531
1002.94,8.901,2.3136,2.8389,33.20736439,0.0561
1002.37,8.801,2.3118,2.842,32.8489692,0.0592
1001.81,8.701,2.3099,2.8459,32.49048065,0.0631
1001.24,8.601,2.3082,2.8518,32.13189865,0.069
1000.67,8.501,2.3065,2.8577,31.77317608,0.0749
1000.1,8.401,2.3048,2.8636,31.41431898,0.0808
999.53,8.301,2.3032,2.8695,31.05534781,0.0867
998.97,8.201,2.3015,2.8754,30.69626246,0.0926
998.4,8.101,2.2998,2.8814,30.33706318,0.0986
997.84,8.001,2.2981,2.8873,29.97757021,0.1045
997.28,7.901,2.2965,2.8933,29.61748656,0.1105
996.71,7.801,2.2948,2.8992,29.25721633,0.1164
996.15,7.701,2.2931,2.9052,28.89680166,0.1224
995.59,7.601,2.2915,2.9113,28.53624238,0.1285
995.03,7.501,2.2898,2.9173,28.17553831,0.1345
994.47,7.401,2.2881,2.9234,27.81469491,0.1406
993.91,7.301,2.2865,2.9294,27.45371916,0.1466
993.35,7.201,2.2848,2.9356,27.09260567,0.1528
992.8,7.101,2.2832,2.9417,26.73134744,0.1589
992.24,7.001,2.2816,2.9479,26.36993663,0.1651
991.68,6.901,2.2799,2.9542,26.00837263,0.1714
991.13,6.801,2.2783,2.9604,25.64665392,0.1776
990.57,6.701,2.2767,2.9668,25.28477722,0.184
990.02,6.601,2.2751,2.9731,24.92273962,0.1903
989.46,6.501,2.2735,2.9796,24.56054217,0.1968
988.91,6.401,2.2719,2.986,24.19818932,0.2032
988.36,6.301,2.2703,2.9926,23.83539377,0.2098
987.81,6.201,2.2687,2.9992,23.47203922,0.2164
987.25,6.101,2.2671,3.0059,23.10847978,0.2231
986.7,6.001,2.2656,3.0127,22.7447151,0.2299
986.15,5.901,2.264,3.0196,22.38074499,0.2368
985.6,5.801,2.2625,3.0265,22.01657131,0.2437
985.05,5.701,2.261,3.0336,21.65220047,0.2508
984.5,5.601,2.2594,3.0408,21.28763109,0.258
983.94,5.501,2.2579,3.0481,20.9228612,0.2653
983.39,5.401,2.2565,3.0555,20.55789757,0.2727
982.84,5.301,2.255,3.0631,20.19266805,0.2803
982.29,5.201,2.2535,3.0709,19.82709759,0.2881
981.74,5.101,2.2521,3.0788,19.46119884,0.296
981.19,5.001,2.2507,3.0869,19.09490937,0.3041
980.63,4.901,2.2493,3.0952,18.72838478,0.3124
980.08,4.801,2.2479,3.1037,18.36162428,0.3209
979.53,4.701,2.2466,3.1125,17.99462578,0.3297
978.97,4.601,2.2453,3.1215,17.62738498,0.3387
978.42,4.501,2.244,3.1309,17.2598752,0.3481
977.86,4.401,2.2427,3.1406,16.89209311,0.3578
977.3,4.301,2.2415,3.1506,16.5240471,0.3678
976.75,4.201,2.2404,3.1611,16.15572797,0.3783
976.19,4.101,2.2393,3.172,15.7871011,0.3892
975.62,4.001,2.2382,3.1834,15.41814572,0.4006
975.06,3.901,2.2372,3.1953,15.04890253,0.4125
974.49,3.801,2.2362,3.2079,14.67931009,0.4251
973.92,3.701,2.2354,3.2211,14.30938347,0.4383
973.34,3.601,2.2346,3.2352,13.93912869,0.4524
972.77,3.501,2.2339,3.2501,13.56854881,0.4673
975.72,3.401,2.2251,3.2769,13.1976451,0.4941
975.14,3.301,2.2242,3.2958,12.82641381,0.513
974.61,3.201,2.2234,3.3157,12.45481982,0.5329
974.07,3.101,2.2228,3.337,12.08283227,0.5542
973.52,3.001,2.2223,3.36,11.7104499,0.5772
972.97,2.901,2.222,3.3849,11.33764139,0.6021
972.4,2.801,2.2219,3.4119,10.96436421,0.6291
971.81,2.701,2.222,3.4413,10.59045434,0.6585
971.22,2.601,2.2224,3.4734,10.21593971,0.6906
970.6,2.501,2.223,3.5085,9.840811396,0.7257
969.96,2.401,2.2239,3.5468,9.465069146,0.764
969.3,2.301,2.225,3.5888,9.088722831,0.806
968.6,2.201,2.2265,3.6347,8.711773465,0.8519
967.87,2.101,2.2283,3.6849,8.334219546,0.9021
967.1,2.001,2.2305,3.7397,7.956048906,0.9569
966.23,1.901,2.2331,3.8005,7.577085837,1.0177
965.29,1.801,2.236,3.8668,7.197192199,1.084
964.29,1.701,2.2394,3.9389,6.816344948,1.1561
963.21,1.601,2.2431,4.0172,6.434334626,1.2344
962.03,1.501,2.2473,4.1024,6.050809826,1.3196
960.73,1.401,2.2518,4.1949,5.665558941,1.4121
959.31,1.301,2.2568,4.2955,5.278509629,1.5127
958.79,1.201,2.2619,4.3967,4.889528356,1.6139
959.35,1.101,2.2661,4.5011,4.498489713,1.7183
959.89,1.001,2.2707,4.6163,4.105206882,1.8335
960.44,0.901,2.2758,4.7434,3.7094022,1.9606
960.99,0.801,2.2812,4.8841,3.31078769,2.1013
961.51,0.701,2.2872,5.0411,2.909229952,2.2583
961.94,0.601,2.2937,5.2179,2.504900822,2.4351
962.17,0.501,2.3008,5.4203,2.097731849,2.6375
962.03,0.401,2.3087,5.6576,1.68699007,2.8748
962.1,0.301,2.3158,5.9775,1.272669123,3.1947
960.78,0.201,2.3244,6.3871,0.8542244,3.6043
954.51,0.101,2.3345,7.0211,0.43149101,4.2383
