T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1100,10.001,2.2077,1.651,37.14245378,0
1099.24,9.901,2.2063,1.6568,36.78519411,0.0058
1098.49,9.801,2.2048,1.6627,36.42785784,0.0117
1097.74,9.701,2.2033,1.6686,36.07045713,0.0176
1096.99,9.601,2.2018,1.6744,35.71299773,0.0234
1096.24,9.501,2.2003,1.6803,35.35548323,0.0293
1095.49,9.401,2.1988,1.6862,34.99790087,0.0352
1094.75,9.301,2.1974,1.6921,34.6400101,0.0411
1094,9.201,2.1959,1.698,34.28198986,0.047
1093.26,9.101,2.1944,1.7039,33.92387497,0.0529
1092.52,9.001,2.1929,1.7098,33.56566629,0.0588
1091.78,8.901,2.1915,1.7157,33.20736439,0.0647
1091.04,8.801,2.19,1.7216,32.8489692,0.0706
1090.31,8.701,2.1885,1.7276,32.49048065,0.0766
1089.58,8.601,2.1871,1.7335,32.13189865,0.0825
1088.84,8.501,2.1856,1.7395,31.77317608,0.0885
1088.11,8.401,2.1841,1.7455,31.41431898,0.0945
1087.38,8.301,2.1827,1.7514,31.05534781,0.1004
1086.66,8.201,2.1812,1.7575,30.69626246,0.1065
1085.93,8.101,2.1798,1.7635,30.33706318,0.1125
1085.21,8.001,2.1783,1.7695,29.97757021,0.1185
1084.48,7.901,2.1769,1.7756,29.61748656,0.1246
1083.76,7.801,2.1755,1.7817,29.25721633,0.1307
1083.04,7.701,2.174,1.7878,28.89680166,0.1368
1082.32,7.601,2.1726,1.7939,28.53624238,0.1429
1081.61,7.501,2.1712,1.8001,28.17553831,0.1491
1080.89,7.401,2.1698,1.8063,27.81469491,0.1553
1080.18,7.301,2.1684,1.8125,27.45371916,0.1615
1079.47,7.201,2.1669,1.8188,27.09260567,0.1678
1078.76,7.101,2.1655,1.8251,26.73134744,0.1741
1078.05,7.001,2.1641,1.8315,26.36993663,0.1805
1077.34,6.901,2.1628,1.8378,26.00837263,0.1868
1076.63,6.801,2.1614,1.8443,25.64665392,0.1933
1075.93,6.701,2.16,1.8507,25.28477722,0.1997
1075.22,6.601,2.1586,1.8573,24.92273962,0.2063
1074.52,6.501,2.1573,1.8639,24.56054217,0.2129
1073.82,6.401,2.1559,1.8705,24.19818932,0.2195
1073.12,6.301,2.1546,1.8772,23.83539377,0.2262
1072.42,6.201,2.1533,1.884,23.47203922,0.233
1071.72,6.101,2.1519,1.8909,23.10847978,0.2399
1071.03,6.001,2.1506,1.8978,22.7447151,0.2468
