T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1070.33,5.901,2.1493,1.9048,22.38074499,0.2538
1069.64,5.801,2.1481,1.912,22.01657131,0.261
1068.95,5.701,2.1468,1.9192,21.65220047,0.2682
1068.26,5.601,2.1455,1.9265,21.28763109,0.2755
1067.57,5.501,2.1443,1.934,20.9228612,0.283
1066.88,5.401,2.1431,1.9416,20.55789757,0.2906
1066.19,5.301,2.1419,1.9494,20.19266805,0.2984
1065.5,5.201,2.1407,1.9573,19.82709759,0.3063
1064.82,5.101,2.1396,1.9655,19.46119884,0.3145
1064.13,5.001,2.1385,1.9738,19.09490937,0.3228
1063.45,4.901,2.1374,1.9824,18.72838478,0.3314
1062.76,4.801,2.1364,1.9912,18.36162428,0.3402
1062.08,4.701,2.1354,2.0004,17.99462578,0.3494
1061.4,4.601,2.1344,2.0099,17.62738498,0.3589
1060.71,4.501,2.1335,2.0199,17.2598752,0.3689
1060.03,4.401,2.1327,2.0303,16.89209311,0.3793
1059.35,4.301,2.132,2.0413,16.5240471,0.3903
1058.66,4.201,2.1313,2.053,16.15572797,0.402
1057.98,4.101,2.1308,2.0656,15.7871011,0.4146
1057.29,4.001,2.1304,2.0792,15.41814572,0.4282
1056.6,3.901,2.1301,2.0941,15.04890253,0.4431
1055.91,3.801,2.1302,2.1108,14.67931009,0.4598
1055.2,3.701,2.1305,2.1297,14.30938347,0.4787
1054.49,3.601,2.1312,2.1515,13.93912869,0.5005
1053.77,3.501,2.1323,2.177,13.56854881,0.526
1053.04,3.401,2.1341,2.2071,13.1976451,0.5561
1052.29,3.301,2.1366,2.2424,12.82641381,0.5914
1051.52,3.201,2.1397,2.283,12.45481982,0.632
1050.75,3.101,2.1433,2.3283,12.08283227,0.6773
1049.97,3.001,2.1474,2.3772,11.7104499,0.7262
1049.19,2.901,2.1518,2.4291,11.33764139,0.7781
1048.42,2.801,2.1564,2.4832,10.96436421,0.8322
1047.65,2.701,2.1612,2.5393,10.59045434,0.8883
1046.89,2.601,2.1662,2.5973,10.21593971,0.9463
1046.13,2.501,2.1713,2.6571,9.840811396,1.0061
1045.38,2.401,2.1765,2.7189,9.465069146,1.0679
1044.63,2.301,2.1819,2.7826,9.088722831,1.1316
1043.89,2.201,2.1874,2.8484,8.711773465,1.1974
1043.15,2.101,2.1931,2.9164,8.334219546,1.2654
1042.41,2.001,2.1989,2.9868,7.956048906,1.3358
1041.68,1.901,2.2051,3.0606,7.577085837,1.4096
1040.94,1.801,2.2114,3.1372,7.197192199,1.4862
1040.21,1.701,2.218,3.217,6.816344948,1.566
1039.47,1.601,2.2248,3.3003,6.434334626,1.6493
1038.73,1.501,2.2318,3.3874,6.050809826,1.7364
1037.99,1.401,2.2392,3.4786,5.665558941,1.8276
1037.24,1.301,2.2469,3.5745,5.278509629,1.9235
1036.48,1.201,2.2549,3.6755,4.889528356,2.0245
1035.71,1.101,2.2633,3.7823,4.498489713,2.1313
1034.93,1.001,2.2721,3.8957,4.105206882,2.2447
1034.14,0.901,2.2814,4.0165,3.7094022,2.3655
1033.32,0.801,2.2912,4.1459,3.31078769,2.4949
1032.49,0.701,2.3017,4.2854,2.909229952,2.6344
1031.62,0.601,2.313,4.437,2.504900822,2.786
1030.72,0.501,2.3251,4.6034,2.097731849,2.9524
1029.77,0.401,2.3385,4.789,1.68699007,3.138
1028.74,0.301,2.3534,5.0006,1.272669123,3.3496
1033.39,0.201,2.3686,5.2142,0.8542244,3.5632
1040.22,0.101,2.3879,5.481,0.43149101,3.83
