T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1087.5,10.001,2.5014,4.3555,37.14245378,0
1087.11,9.901,2.4996,4.358,36.78519411,0.0025
1086.75,9.801,2.4979,4.3604,36.42785784,0.0049
1086.38,9.701,2.4961,4.3628,36.07045713,0.0073
1086.01,9.601,2.4944,4.3653,35.71299773,0.0098
1085.64,9.501,2.4926,4.3677,35.35548323,0.0122
1085.27,9.401,2.4908,4.3701,34.99790087,0.0146
1084.91,9.301,2.4892,4.3743,34.6400101,0.0188
1084.54,9.201,2.4875,4.3789,34.28198986,0.0234
1084.18,9.101,2.4858,4.3834,33.92387497,0.0279
1083.81,9.001,2.4842,4.3878,33.56566629,0.0323
1083.45,8.901,2.4825,4.3923,33.20736439,0.0368
1083.09,8.801,2.4808,4.3968,32.8489692,0.0413
1082.73,8.701,2.4792,4.4012,32.49048065,0.0457
1082.36,8.601,2.4775,4.4057,32.13189865,0.0502
1082.01,8.501,2.4758,4.4101,31.77317608,0.0546
1081.65,8.401,2.4742,4.4145,31.41431898,0.059
1081.29,8.301,2.4725,4.4189,31.05534781,0.0634
1080.93,8.201,2.4708,4.4233,30.69626246,0.0678
1080.58,8.101,2.4692,4.4277,30.33706318,0.0722
1080.22,8.001,2.4675,4.4321,29.97757021,0.0766
1079.87,7.901,2.4658,4.4364,29.61748656,0.0809
1079.51,7.801,2.4641,4.4408,29.25721633,0.0853
1079.16,7.701,2.4625,4.4451,28.89680166,0.0896
1078.81,7.601,2.4608,4.4495,28.53624238,0.094
1078.46,7.501,2.4591,4.4538,28.17553831,0.0983
1078.11,7.401,2.4574,4.4581,27.81469491,0.1026
1077.76,7.301,2.4558,4.4624,27.45371916,0.1069
1077.41,7.201,2.4541,4.4667,27.09260567,0.1112
1077.07,7.101,2.4524,4.471,26.73134744,0.1155
1076.72,7.001,2.4507,4.4753,26.36993663,0.1198
1076.37,6.901,2.4491,4.4796,26.00837263,0.1241
1076.03,6.801,2.4474,4.4839,25.64665392,0.1284
1075.68,6.701,2.4457,4.4882,25.28477722,0.1327
1075.34,6.601,2.444,4.4924,24.92273962,0.1369
1075,6.501,2.4423,4.4967,24.56054217,0.1412
1074.66,6.401,2.4407,4.5009,24.19818932,0.1454
1074.32,6.301,2.439,4.5052,23.83539377,0.1497
1073.98,6.201,2.4373,4.5094,23.47203922,0.1539
1073.64,6.101,2.4356,4.5137,23.10847978,0.1582
1073.3,6.001,2.4339,4.5179,22.7447151,0.1624
1072.96,5.901,2.4322,4.5222,22.38074499,0.1667
1072.63,5.801,2.4306,4.5264,22.01657131,0.1709
1072.29,5.701,2.4289,4.5306,21.65220047,0.1751
1071.96,5.601,2.4272,4.5348,21.28763109,0.1793
1071.62,5.501,2.4255,4.5391,20.9228612,0.1836
1071.29,5.401,2.4238,4.5433,20.55789757,0.1878
1070.96,5.301,2.4221,4.5475,20.19266805,0.192
1070.62,5.201,2.4205,4.5517,19.82709759,0.1962
