T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1036.91,10.001,2.3899,3.3229,37.14245378,0
1036.4,9.901,2.3881,3.3259,36.78519411,0.003
1035.9,9.801,2.3863,3.3288,36.42785784,0.0059
1035.41,9.701,2.3844,3.3317,36.07045713,0.0088
1034.91,9.601,2.3826,3.3346,35.71299773,0.0117
1034.41,9.501,2.3807,3.3375,35.35548323,0.0146
1033.92,9.401,2.3788,3.3403,34.99790087,0.0174
1033.42,9.301,2.377,3.3432,34.6400101,0.0203
1032.93,9.201,2.3751,3.3461,34.28198986,0.0232
1032.44,9.101,2.3733,3.349,33.92387497,0.0261
1031.94,9.001,2.3714,3.3519,33.56566629,0.029
1031.45,8.901,2.3696,3.3547,33.20736439,0.0318
1030.96,8.801,2.3677,3.3576,32.8489692,0.0347
1030.46,8.701,2.366,3.3625,32.49048065,0.0396
1029.97,8.601,2.3643,3.3678,32.13189865,0.0449
1029.48,8.501,2.3626,3.3731,31.77317608,0.0502
1028.99,8.401,2.3609,3.3784,31.41431898,0.0555
1028.49,8.301,2.3591,3.3837,31.05534781,0.0608
1028.01,8.201,2.3574,3.389,30.69626246,0.0661
1027.52,8.101,2.3557,3.3943,30.33706318,0.0714
1027.03,8.001,2.354,3.3995,29.97757021,0.0766
1026.54,7.901,2.3523,3.4047,29.61748656,0.0818
1026.06,7.801,2.3506,3.41,29.25721633,0.0871
1025.57,7.701,2.3489,3.4152,28.89680166,0.0923
1025.09,7.601,2.3472,3.4204,28.53624238,0.0975
1024.61,7.501,2.3455,3.4256,28.17553831,0.1027
1024.13,7.401,2.3438,3.4309,27.81469491,0.108
1023.65,7.301,2.3421,3.4361,27.45371916,0.1132
1023.17,7.201,2.3404,3.4413,27.09260567,0.1184
1022.69,7.101,2.3387,3.4464,26.73134744,0.1235
1022.22,7.001,2.337,3.4516,26.36993663,0.1287
1021.74,6.901,2.3353,3.4568,26.00837263,0.1339
1021.27,6.801,2.3336,3.462,25.64665392,0.1391
1020.79,6.701,2.3319,3.4672,25.28477722,0.1443
1020.32,6.601,2.3302,3.4724,24.92273962,0.1495
1019.85,6.501,2.3285,3.4776,24.56054217,0.1547
1019.38,6.401,2.3268,3.4827,24.19818932,0.1598
1018.91,6.301,2.3251,3.4879,23.83539377,0.165
1018.44,6.201,2.3234,3.4931,23.47203922,0.1702
1017.98,6.101,2.3217,3.4983,23.10847978,0.1754
1017.51,6.001,2.32,3.5035,22.7447151,0.1806
1017.04,5.901,2.3183,3.5086,22.38074499,0.1857
1016.58,5.801,2.3166,3.5138,22.01657131,0.1909
1016.12,5.701,2.3149,3.519,21.65220047,0.1961
1015.65,5.601,2.3132,3.5242,21.28763109,0.2013
1015.19,5.501,2.3115,3.5295,20.9228612,0.2066
1014.73,5.401,2.3099,3.5347,20.55789757,0.2118
