T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1024.22,10.001,2.357,3.0409,37.14245378,0
1023.67,9.901,2.3551,3.0439,36.78519411,0.003
1023.13,9.801,2.3533,3.0469,36.42785784,0.006
1022.59,9.701,2.3514,3.0499,36.07045713,0.009
1022.06,9.601,2.3495,3.0529,35.71299773,0.012
1021.52,9.501,2.3476,3.0559,35.35548323,0.015
1020.99,9.401,2.3458,3.0589,34.99790087,0.018
1020.46,9.301,2.3439,3.0619,34.6400101,0.021
1019.92,9.201,2.342,3.0649,34.28198986,0.024
1019.39,9.101,2.3401,3.0678,33.92387497,0.0269
1018.86,9.001,2.3383,3.0708,33.56566629,0.0299
1018.33,8.901,2.3364,3.0738,33.20736439,0.0329
1017.8,8.801,2.3345,3.0768,32.8489692,0.0359
1017.26,8.701,2.3328,3.0821,32.49048065,0.0412
1016.73,8.601,2.3311,3.0877,32.13189865,0.0468
1016.19,8.501,2.3294,3.0933,31.77317608,0.0524
1015.66,8.401,2.3277,3.0989,31.41431898,0.058
1015.13,8.301,2.326,3.1044,31.05534781,0.0635
1014.6,8.201,2.3243,3.11,30.69626246,0.0691
1014.07,8.101,2.3226,3.1155,30.33706318,0.0746
1013.54,8.001,2.3209,3.1211,29.97757021,0.0802
1013.01,7.901,2.3192,3.1266,29.61748656,0.0857
1012.49,7.801,2.3175,3.1321,29.25721633,0.0912
1011.96,7.701,2.3158,3.1377,28.89680166,0.0968
1011.44,7.601,2.3141,3.1432,28.53624238,0.1023
1010.92,7.501,2.3124,3.1487,28.17553831,0.1078
1010.4,7.401,2.3107,3.1542,27.81469491,0.1133
1009.88,7.301,2.309,3.1597,27.45371916,0.1188
1009.36,7.201,2.3073,3.1652,27.09260567,0.1243
1008.84,7.101,2.3056,3.1707,26.73134744,0.1298
1008.33,7.001,2.3039,3.1762,26.36993663,0.1353
1007.81,6.901,2.3022,3.1817,26.00837263,0.1408
1007.3,6.801,2.3005,3.1872,25.64665392,0.1463
1006.79,6.701,2.2989,3.1927,25.28477722,0.1518
1006.27,6.601,2.2972,3.1982,24.92273962,0.1573
1005.76,6.501,2.2955,3.2037,24.56054217,0.1628
1005.25,6.401,2.2938,3.2093,24.19818932,0.1684
1004.75,6.301,2.2921,3.2148,23.83539377,0.1739
1004.24,6.201,2.2904,3.2203,23.47203922,0.1794
1003.73,6.101,2.2888,3.2258,23.10847978,0.1849
1003.23,6.001,2.2871,3.2314,22.7447151,0.1905
1002.72,5.901,2.2854,3.2369,22.38074499,0.196
1002.22,5.801,2.2837,3.2425,22.01657131,0.2016
1001.72,5.701,2.2821,3.248,21.65220047,0.2071
1001.22,5.601,2.2804,3.2536,21.28763109,0.2127
1000.72,5.501,2.2787,3.2592,20.9228612,0.2183
1000.22,5.401,2.2771,3.2648,20.55789757,0.2239
999.72,5.301,2.2754,3.2705,20.19266805,0.2296
999.22,5.201,2.2737,3.2761,19.82709759,0.2352
998.73,5.101,2.2721,3.2818,19.46119884,0.2409
998.23,5.001,2.2704,3.2874,19.09490937,0.2465
997.74,4.901,2.2688,3.2931,18.72838478,0.2522
997.24,4.801,2.2671,3.2989,18.36162428,0.258
996.75,4.701,2.2655,3.3046,17.99462578,0.2637
996.26,4.601,2.2638,3.3104,17.62738498,0.2695
995.77,4.501,2.2622,3.3162,17.2598752,0.2753
995.28,4.401,2.2606,3.3221,16.89209311,0.2812
