T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1068,10,1000,2.396180964,3.979384969,37.14245378,0
1067.686398,9.9001,990.01,2.395141572,3.98144227,36.78519411,0.002057302
1067.383722,9.8002,980.02,2.394111253,3.983385886,36.42785784,0.004000918
1067.100071,9.7003,970.03,2.393083194,3.985091451,36.07045713,0.005706482
1066.817883,9.6004,960.04,2.392043003,3.986814145,35.71299773,0.007429176
1066.533646,9.5005,950.05,2.391001185,3.988539468,35.35548323,0.009154499
1066.247848,9.4006,940.06,2.389956484,3.990273603,34.99790087,0.010888635
1065.96722,9.3007,930.07,2.38889313,3.992015751,34.6400101,0.012630782
1065.682788,9.2008,920.08,2.387827641,3.993771541,34.28198986,0.014386573
1065.397966,9.1009,910.09,2.386768619,3.995494815,33.92387497,0.016109846
1065.110119,9.001,900.1,2.385705228,3.997240323,33.56566629,0.017855354
1064.824224,8.9011,890.11,2.384631218,3.998986745,33.20736439,0.019601776
1064.533353,8.8012,880.12,2.3835627,4.000747149,32.8489692,0.02136218
1064.243653,8.7013,870.13,2.382484467,4.00251772,32.49048065,0.023132751
1063.955513,8.6014,860.14,2.381396083,4.004293115,32.13189865,0.024908147
1063.662399,8.5015,850.15,2.380312554,4.006085311,31.77317608,0.026700343
1063.373089,8.4016,840.16,2.379213349,4.007882129,31.41431898,0.02849716
1063.079779,8.3017,830.17,2.378116998,4.009693532,31.05534781,0.030308563
1062.785493,8.2018,820.18,2.377015811,4.011515519,30.69626246,0.032130551
1062.49033,8.1019,810.19,2.375910105,4.013346396,30.33706318,0.033961428
1062.19341,8.002,800.2,2.374801318,4.015189532,29.97757021,0.035804564
1061.895125,7.9021,790.21,2.37368887,4.017042927,29.61748656,0.037657959
1061.599473,7.8022,780.22,2.372564883,4.018895465,29.25721633,0.039510496
1061.298554,7.7023,770.23,2.371443898,4.020763838,28.89680166,0.041378869
1060.999683,7.6024,760.24,2.370312491,4.022632344,28.53624238,0.043247376
1060.698861,7.5025,750.25,2.369178548,4.024512318,28.17553831,0.04512735
1060.394137,7.4026,740.26,2.36804616,4.026408222,27.81469491,0.047023254
1060.09312,7.3027,730.27,2.366897965,4.028306268,27.45371916,0.048921299
1059.784591,7.2028,720.28,2.365759945,4.030218787,27.09260567,0.050833818
1059.482208,7.1029,710.29,2.364600492,4.032134243,26.73134744,0.052749274
1059.17124,7.003,700.3,2.363453418,4.034058941,26.36993663,0.054673972
1058.867003,6.9031,690.31,2.362282949,4.03599612,26.00837263,0.056611152
1058.562669,6.8032,680.32,2.361104198,4.037955106,25.64665392,0.058570138
1058.246141,6.7033,670.33,2.359946025,4.039912776,25.28477722,0.060527807
1057.938685,6.6034,660.34,2.358758675,4.041893421,24.92273962,0.062508452
1057.631229,6.5035,650.35,2.357563802,4.043882064,24.56054217,0.064497095
1057.321041,6.4036,640.36,2.356368682,4.045864078,24.19818932,0.06647911
1057.007927,6.3037,630.37,2.355172497,4.047853408,23.83539377,0.068468439
1056.692861,6.2038,620.38,2.353969844,4.04988344,23.47203922,0.070498472
1056.377894,6.1039,610.39,2.352758956,4.051927351,23.10847978,0.072542383
1056.060096,6.004,600.4,2.351545357,4.053986475,22.7447151,0.074601506
1055.741714,5.9041,590.41,2.350325064,4.056053475,22.38074499,0.076668507
1055.41621,5.8042,580.42,2.349113613,4.058104689,22.01657131,0.078719721
1055.096169,5.7043,570.43,2.347880949,4.060189417,21.65220047,0.080804449
1054.776518,5.6044,560.44,2.346637542,4.062294661,21.28763109,0.082909692
1054.453843,5.5045,550.45,2.345392997,4.064402966,20.9228612,0.085017998
1054.126485,5.4046,540.46,2.344148499,4.066524935,20.55789757,0.087139966
1053.801859,5.3047,530.47,2.342890313,4.068657356,20.19266805,0.089272387
1053.475867,5.2048,520.48,2.341626031,4.070802297,19.82709759,0.091417328
1053.148606,5.1049,510.49,2.340355254,4.072959563,19.46119884,0.093574595
1052.822712,5.005,500.5,2.339072648,4.075133684,19.09490937,0.095748716
1052.492915,4.9051,490.51,2.337788756,4.077318941,18.72838478,0.097933972
1052.161948,4.8052,480.52,2.336496982,4.079518724,18.36162428,0.100133755
1051.831078,4.7053,470.53,2.335196211,4.081716595,17.99462578,0.102331627
1051.498159,4.6054,460.54,2.333890819,4.08393433,17.62738498,0.104549361
1051.163094,4.5055,450.55,2.332580522,4.086172267,17.2598752,0.106787299
1050.827736,4.4056,440.56,2.33126044,4.088415435,16.89209311,0.109030466
1050.491208,4.3057,430.57,2.329933086,4.090671165,16.5240471,0.111286196
