T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
913.4,10,1000,2.278410684,3.724076416,37.14245378,0
912.9624985,9.9001,990.01,2.277294993,3.727066041,36.78519411,0.002989624
912.5235336,9.8002,980.02,2.27617437,3.730065981,36.42785784,0.005989565
912.0843736,9.7003,970.03,2.27505015,3.733072605,36.07045713,0.008996188
911.6439453,9.6004,960.04,2.273922588,3.736092581,35.71299773,0.012016165
911.2058584,9.5005,950.05,2.27278557,3.739089626,35.35548323,0.01501321
910.7653326,9.4006,940.06,2.271647267,3.742112676,34.99790087,0.01803626
910.3246117,9.3007,930.07,2.270503666,3.74513885,34.6400101,0.021062434
909.8832078,9.2008,920.08,2.269355926,3.74817352,34.28198986,0.024097104
909.4414137,9.1009,910.09,2.268203099,3.75121273,33.92387497,0.027136314
909.001083,9.001,900.1,2.267042022,3.754237773,33.56566629,0.030161357
908.5583133,8.9011,890.11,2.265879453,3.757288967,33.20736439,0.03321255
908.1151534,8.8012,880.12,2.264711877,3.76034545,32.8489692,0.036269034
907.6717984,8.7013,870.13,2.263539322,3.763406156,32.49048065,0.039329739
907.227858,8.6014,860.14,2.262360601,3.766470863,32.13189865,0.042394447
906.7851859,8.5015,850.15,2.261174272,3.769524826,31.77317608,0.04544841
906.3399772,8.4016,840.16,2.259986511,3.772606508,31.41431898,0.048530092
905.8938906,8.3017,830.17,2.258794052,3.77569745,31.05534781,0.051621034
905.4494624,8.2018,820.18,2.257592372,3.77877223,30.69626246,0.054695814
905.0038635,8.1019,810.19,2.256386198,3.781858737,30.33706318,0.05778232
904.5561184,8.002,800.2,2.255178056,3.784970221,29.97757021,0.060893805
904.110617,7.9021,790.21,2.253958957,3.788056669,29.61748656,0.063980253
903.6617987,7.8022,780.22,2.252738834,3.791177872,29.25721633,0.067101456
903.2141511,7.7023,770.23,2.251510432,3.794287946,28.89680166,0.07021153
902.7641621,7.6024,760.24,2.250281367,3.797428292,28.53624238,0.073351876
902.315734,7.5025,750.25,2.249041032,3.800547168,28.17553831,0.076470752
901.8663304,7.4026,740.26,2.247794227,3.803671812,27.81469491,0.079595396
901.4161462,7.3027,730.27,2.246543131,3.806807379,27.45371916,0.082730962
900.9653768,7.2028,720.28,2.245287006,3.809956619,27.09260567,0.085880203
