T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1003.13,10.001,2.2961,2.5467,37.14245378,0
999.58,9.901,2.2935,2.564,36.78519411,0.0173
998.57,9.801,2.2924,2.5697,36.42785784,0.023
997.59,9.701,2.2914,2.5752,36.07045713,0.0285
996.7,9.601,2.2977,2.5844,35.71299773,0.0377
996.14,9.501,2.2958,2.5874,35.35548323,0.0407
995.53,9.401,2.2939,2.5905,34.99790087,0.0438
994.89,9.301,2.292,2.5939,34.6400101,0.0472
994.29,9.201,2.2901,2.597,34.28198986,0.0503
993.69,9.101,2.2882,2.6002,33.92387497,0.0535
993.09,9.001,2.2863,2.6033,33.56566629,0.0566
992.49,8.901,2.2844,2.6064,33.20736439,0.0597
991.89,8.801,2.2825,2.6103,32.8489692,0.0636
991.28,8.701,2.2808,2.6165,32.49048065,0.0698
990.68,8.601,2.2792,2.6227,32.13189865,0.076
990.07,8.501,2.2775,2.629,31.77317608,0.0823
989.46,8.401,2.2759,2.6352,31.41431898,0.0885
988.86,8.301,2.2742,2.6415,31.05534781,0.0948
988.25,8.201,2.2725,2.6478,30.69626246,0.1011
987.65,8.101,2.2709,2.6541,30.33706318,0.1074
987.05,8.001,2.2693,2.6605,29.97757021,0.1138
986.44,7.901,2.2676,2.6668,29.61748656,0.1201
985.84,7.801,2.266,2.6732,29.25721633,0.1265
985.24,7.701,2.2644,2.6797,28.89680166,0.133
984.64,7.601,2.2627,2.6861,28.53624238,0.1394
984.04,7.501,2.2611,2.6927,28.17553831,0.146
983.45,7.401,2.2595,2.6992,27.81469491,0.1525
982.85,7.301,2.2579,2.7058,27.45371916,0.1591
982.25,7.201,2.2563,2.7125,27.09260567,0.1658
981.66,7.101,2.2547,2.7192,26.73134744,0.1725
981.06,7.001,2.2532,2.726,26.36993663,0.1793
980.47,6.901,2.2516,2.7328,26.00837263,0.1861
979.87,6.801,2.25,2.7397,25.64665392,0.193
979.28,6.701,2.2485,2.7467,25.28477722,0.2
978.69,6.601,2.2469,2.7538,24.92273962,0.2071
978.09,6.501,2.2454,2.7609,24.56054217,0.2142
977.5,6.401,2.2439,2.7682,24.19818932,0.2215
976.91,6.301,2.2424,2.7755,23.83539377,0.2288
976.32,6.201,2.2409,2.783,23.47203922,0.2363
975.73,6.101,2.2394,2.7906,23.10847978,0.2439
975.13,6.001,2.2379,2.7983,22.7447151,0.2516
974.54,5.901,2.2365,2.8062,22.38074499,0.2595
973.95,5.801,2.2351,2.8142,22.01657131,0.2675
973.36,5.701,2.2337,2.8224,21.65220047,0.2757
972.77,5.601,2.2323,2.8308,21.28763109,0.2841
972.18,5.501,2.2309,2.8394,20.9228612,0.2927
971.58,5.401,2.2296,2.8482,20.55789757,0.3015
970.99,5.301,2.2283,2.8572,20.19266805,0.3105
970.4,5.201,2.227,2.8665,19.82709759,0.3198
969.8,5.101,2.2257,2.8761,19.46119884,0.3294
969.21,5.001,2.2245,2.886,19.09490937,0.3393
968.61,4.901,2.2233,2.8962,18.72838478,0.3495
968.02,4.801,2.2222,2.9068,18.36162428,0.3601
967.42,4.701,2.2211,2.9179,17.99462578,0.3712
966.82,4.601,2.2201,2.9293,17.62738498,0.3826
966.22,4.501,2.2191,2.9413,17.2598752,0.3946
965.61,4.401,2.2182,2.9539,16.89209311,0.4072
968.63,4.301,2.2087,2.9761,16.5240471,0.4294
968.03,4.201,2.2075,2.9915,16.15572797,0.4448
967.48,4.101,2.2064,3.0074,15.7871011,0.4607
966.93,4.001,2.2054,3.0241,15.41814572,0.4774
966.37,3.901,2.2045,3.0418,15.04890253,0.4951
965.81,3.801,2.2037,3.0605,14.67931009,0.5138
965.24,3.701,2.203,3.0805,14.30938347,0.5338
964.67,3.601,2.2024,3.1017,13.93912869,0.555
964.09,3.501,2.202,3.1244,13.56854881,0.5777
963.5,3.401,2.2017,3.1488,13.1976451,0.6021
962.9,3.301,2.2016,3.1749,12.82641381,0.6282
962.29,3.201,2.2017,3.203,12.45481982,0.6563
961.67,3.101,2.202,3.2332,12.08283227,0.6865
961.04,3.001,2.2025,3.2657,11.7104499,0.719
960.39,2.901,2.2032,3.3008,11.33764139,0.7541
959.73,2.801,2.2042,3.3387,10.96436421,0.792
959.04,2.701,2.2054,3.3794,10.59045434,0.8327
958.33,2.601,2.2068,3.4234,10.21593971,0.8767
957.59,2.501,2.2085,3.4706,9.840811396,0.9239
956.82,2.401,2.2105,3.5214,9.465069146,0.9747
956.02,2.301,2.2128,3.5759,9.088722831,1.0292
955.17,2.201,2.2154,3.6343,8.711773465,1.0876
