T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
892.4,10,1000,2.218571928,3.370996769,37.14245378,0
891.8928417,9.9001,990.01,2.217438602,3.37428077,36.78519411,0.003284001
891.3874394,9.8002,980.02,2.216296596,3.377549963,36.42785784,0.006553194
890.8795005,9.7003,970.03,2.215153671,3.380845304,36.07045713,0.009848535
890.3713666,9.6004,960.04,2.214005357,3.384144614,35.71299773,0.013147845
889.8645985,9.5005,950.05,2.212848883,3.387432609,35.35548323,0.01643584
889.3552938,9.4006,940.06,2.211688078,3.390740075,34.99790087,0.019743306
888.8477453,9.3007,930.07,2.210524651,3.394045732,34.6400101,0.023048963
888.3376602,9.2008,920.08,2.209356492,3.397370696,34.28198986,0.026373927
887.8287458,9.1009,910.09,2.208180342,3.40068623,33.92387497,0.029689461
887.3199289,9.001,900.1,2.206997998,3.404002649,33.56566629,0.03300588
886.8085755,8.9011,890.11,2.205814417,3.407345498,33.20736439,0.036348728
886.2983929,8.8012,880.12,2.204622199,3.410678574,32.8489692,0.039681805
885.7861615,8.7013,870.13,2.203427664,3.414033188,32.49048065,0.043036419
885.2750032,8.6014,860.14,2.202224775,3.417379113,32.13189865,0.046382344
884.7635523,8.5015,850.15,2.201016062,3.420729382,31.77317608,0.049732613
884.2493697,8.4016,840.16,2.19980628,3.424108705,31.41431898,0.053111936
883.7373334,8.3017,830.17,2.198584803,3.427466558,31.05534781,0.056469789
883.2228582,8.2018,820.18,2.197362848,3.430852523,30.69626246,0.059855754
882.7081878,8.1019,810.19,2.196134141,3.434240834,30.33706318,0.063244065
882.1941028,8.002,800.2,2.194896986,3.43762411,29.97757021,0.066627341
881.6789447,7.9021,790.21,2.193654898,3.441018854,29.61748656,0.070022085
881.1631036,7.8022,780.22,2.192406948,3.444421176,29.25721633,0.073424407
880.6463845,7.7023,770.23,2.191151388,3.447827802,28.89680166,0.076831033
880.1305435,7.6024,760.24,2.189890083,3.45123229,28.53624238,0.080235521
879.6110927,7.5025,750.25,2.188619173,3.454646519,28.17553831,0.08364975
879.0745692,7.4026,740.26,2.187381406,3.458253384,27.81469491,0.087256615
878.5539478,7.3027,730.27,2.186122643,3.461755706,27.45371916,0.090758937
878.0215218,7.2028,720.28,2.184965267,3.465377147,27.09260567,0.094380378
877.4902665,7.1029,710.29,2.183799441,3.468992402,26.73134744,0.097995633
876.958816,7.003,700.3,2.18262702,3.47261077,26.36993663,0.101614001
876.4267802,6.9031,690.31,2.181447807,3.476234346,26.00837263,0.105237576
875.8933786,6.8032,680.32,2.180262664,3.479868751,25.64665392,0.108871982
