Unit,Type,temperature,pressure
Coroccohuayco,arc,823,331.5203389
Coroccohuayco,arc,815,307.2268573
Coroccohuayco,arc,804,279.4298802
Coroccohuayco,arc,790,256.3898512
Coroccohuayco,arc,819,281.1823178
Coroccohuayco,arc,813,299.1885013
Coroccohuayco,arc,811,295.0840225
Coroccohuayco,arc,796,259.1736571
Coroccohuayco,arc,801,284.9249869
Coroccohuayco,arc,803,292.2415929
Coroccohuayco,arc,787,243.3731685
Coroccohuayco,arc,810,297.5776899
Coroccohuayco,arc,787,270.6127661
Coroccohuayco,arc,815,284.514196
Coroccohuayco,arc,809,262.3787001
Coroccohuayco,arc,811,290.1539106
Coroccohuayco,arc,806,269.2607497
Coroccohuayco,arc,784,222.2576877
Coroccohuayco,arc,819,298.4068799
Coroccohuayco,arc,779,174.7060177
Coroccohuayco,arc,778,172.5804338
Coroccohuayco,arc,790,214.7365034
Coroccohuayco,arc,765,166.7370478
Coroccohuayco,arc,797,226.0760095
Coroccohuayco,arc,760,149.194937
Coroccohuayco,arc,773,173.1693469
Coroccohuayco,arc,798,230.1158646
Coroccohuayco,arc,745,141.9441726
Coroccohuayco,arc,753,137.3779647
Coroccohuayco,arc,794,231.7328424
Coroccohuayco,arc,777,183.7178475
Coroccohuayco,arc,753,167.8308967
Coroccohuayco,arc,810,246.4083997
Coroccohuayco,arc,751,142.6739071
Coroccohuayco,arc,765,157.2073046
Coroccohuayco,arc,782,186.6822985
Coroccohuayco,arc,772,188.1896212
Coroccohuayco,arc,794,228.5907167
Coroccohuayco,arc,780,178.8027825
Coroccohuayco,arc,773,182.7599703
Coroccohuayco,arc,787,203.097645
Coroccohuayco,arc,767,163.9792113
Coroccohuayco,arc,763,154.1939936
Coroccohuayco,arc,779,190.696031
Coroccohuayco,arc,760,150.2011708
Coroccohuayco,arc,808,248.1076148
Coroccohuayco,arc,766,161.4076128
Coroccohuayco,arc,764,156.7184479
Coroccohuayco,arc,764,164.7362331
Coroccohuayco,arc,799,226.1944276
Coroccohuayco,arc,782,197.629257
Coroccohuayco,arc,773,170.954466
Coroccohuayco,arc,804,239.538104
Coroccohuayco,arc,785,210.9164801
Coroccohuayco,arc,789,187.8827315
Coroccohuayco,arc,774,198.3597483
Coroccohuayco,arc,798,225.3548547
Coroccohuayco,arc,756,152.8010589
Coroccohuayco,arc,766,158.5597185
Coroccohuayco,arc,802,228.4752154
Coroccohuayco,arc,779,187.52148
Coroccohuayco,arc,790,205.824353
Coroccohuayco,arc,774,179.0632479
Coroccohuayco,arc,795,217.7164557
Coroccohuayco,arc,801,227.4441192
Coroccohuayco,arc,780,204.7919607
Coroccohuayco,arc,774,182.3181841
Coroccohuayco,arc,798,216.4392033
Coroccohuayco,arc,791,218.2966869
Coroccohuayco,arc,783,185.538466
Coroccohuayco,arc,782,181.012094
Coroccohuayco,arc,789,205.3129006
